date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,4.05
4/11,True,n/a,1.5
4/12,True,n/a,4.5
4/14,True,n/a,1.8
4/15,False,n/a,1.5
4/16,False,n/a,3.46
4/17,True,n/a,3.75
4/18,False,n/a,0.75
4/20,True,n/a,5.11
4/21,False,n/a,3.86
4/22,True,n/a,1.8
4/24,True,n/a,7.05
4/25,True,n/a,6.46
4/26,True,n/a,7.2
5/14,True,n/a,3.12
5/15,True,n/a,3.42
5/16,False,n/a,6.69
5/17,True,n/a,6.83
5/18,True,n/a,2.47
5/19,True,n/a,4.13
5/20,True,n/a,4.18
5/21,True,n/a,4.65
5/22,True,n/a,4.13
5/23,True,n/a,3.35
5/25,True,n/a,6.75
5/26,True,n/a,5.37
6/22,False,n/a,5.22
6/23,True,n/a,3.77
6/24,False,n/a,4.72
6/25,False,n/a,5.86
6/26,True,n/a,inf
6/27,True,n/a,3.08
6/29,True,n/a,4.21
6/30,True,n/a,5.43
7/1,True,n/a,2.98
7/3,True,n/a,3.62
7/4,False,n/a,4.58
7/5,False,n/a,5.56
7/6,True,n/a,4.85
7/7,False,n/a,3.86
7/8,True,n/a,4.64
7/9,True,n/a,4.56
7/11,True,n/a,4.96
7/15,True,n/a,5.22
7/16,True,n/a,4.22
7/17,True,n/a,4.78
7/18,True,n/a,2.78
7/19,True,n/a,4.79
7/20,True,n/a,4.45
7/21,True,n/a,4.74
7/22,True,n/a,3.14
7/23,True,n/a,4.83
7/24,True,n/a,3.63
7/25,True,n/a,6.06
7/27,True,n/a,3.75
7/28,True,n/a,3.15
7/29,True,n/a,3.46
7/30,True,n/a,3.55
7/31,True,n/a,3.86
8/1,False,n/a,3.17
8/3,False,n/a,3.2
8/4,True,n/a,3.57
8/5,True,n/a,2.79
8/6,False,n/a,3.63
8/7,False,n/a,3.69
8/8,False,n/a,2.72
8/10,True,n/a,4.99
8/11,True,n/a,4.63
8/13,True,n/a,6.21
8/14,True,n/a,2.94
8/30,True,n/a,5.41
8/31,False,n/a,6.0
9/1,True,n/a,6.0
9/3,True,n/a,inf
9/4,True,n/a,3.52
9/5,True,n/a,6.04
9/6,False,n/a,3.6
9/7,True,n/a,3.53
9/8,True,n/a,6.63
9/9,True,n/a,inf
9/10,True,n/a,5.01
9/11,True,n/a,5.2
9/12,True,n/a,4.83
9/14,True,n/a,5.03
9/15,True,n/a,3.89
9/17,True,n/a,2.39
9/18,True,n/a,3.62
9/19,True,n/a,3.95
9/20,True,n/a,2.94
9/21,False,n/a,3.93
9/23,True,n/a,3.65
9/24,True,n/a,2.46
9/25,False,n/a,3.36
9/27,True,n/a,4.06
9/28,True,n/a,2.31
9/30,True,n/a,6.04
10/1,True,n/a,3.01
10/2,True,n/a,3.83
10/3,True,n/a,2.86
