date,hitVal,otherInfo,opPitcherEra
4/9,True,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,0.0
4/14,False,n/a,3.86
4/15,False,n/a,6.0
4/18,True,n/a,5.25
4/20,False,n/a,17.49
4/22,False,n/a,7.5
4/24,True,n/a,4.32
4/28,True,n/a,1.42
5/1,False,n/a,3.65
5/5,True,n/a,2.25
5/6,False,n/a,4.36
5/7,False,n/a,5.7
5/9,False,n/a,4.42
5/10,True,n/a,8.14
7/4,True,n/a,4.84
7/6,True,n/a,4.07
7/7,True,n/a,4.13
7/11,True,n/a,3.15
7/16,False,n/a,4.57
7/17,True,n/a,6.03
7/18,True,n/a,4.65
7/20,True,n/a,3.3
7/22,True,n/a,3.53
7/29,True,n/a,3.77
8/2,True,n/a,3.11
8/4,False,n/a,4.11
8/6,False,n/a,3.38
8/8,True,n/a,3.38
8/10,False,n/a,5.25
8/11,True,n/a,4.34
8/14,False,n/a,3.42
8/17,True,n/a,5.12
8/19,True,n/a,5.23
8/21,True,n/a,3.85
8/24,True,n/a,4.74
8/28,True,n/a,4.22
8/30,False,n/a,3.5
8/31,False,n/a,3.63
9/2,False,n/a,3.02
9/3,True,n/a,4.5
9/6,True,n/a,6.31
9/8,False,n/a,5.24
9/13,True,n/a,7.2
9/14,True,n/a,3.82
9/15,True,n/a,4.69
9/17,False,n/a,3.85
9/18,False,n/a,0.69
9/20,True,n/a,3.01
9/24,False,n/a,6.75
9/29,False,n/a,8.19
10/3,True,n/a,3.09
