date,hitVal,otherInfo,opPitcherEra
4/14,True,n/a,7.2
4/22,True,n/a,4.67
4/25,True,n/a,3.5
5/8,False,n/a,2.55
5/17,True,n/a,9.19
5/23,False,n/a,5.31
5/28,False,n/a,4.31
5/31,False,n/a,4.06
6/2,True,n/a,4.86
6/12,True,n/a,4.51
6/16,True,n/a,3.87
6/29,False,n/a,2.92
6/30,True,n/a,5.08
7/1,True,n/a,11.01
7/2,False,n/a,4.9
7/4,True,n/a,4.46
7/5,True,n/a,4.53
7/6,False,n/a,5.59
7/7,True,n/a,3.01
7/8,False,n/a,3.56
7/9,True,n/a,3.38
7/15,True,n/a,3.62
7/24,True,n/a,2.38
7/26,True,n/a,4.23
7/27,False,n/a,4.58
7/28,False,n/a,5.01
7/30,False,n/a,5.5
8/15,False,n/a,3.95
9/28,False,n/a,7.18
9/29,True,n/a,2.52
10/1,True,n/a,2.89
