date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,1.29
4/12,False,n/a,0.0
4/13,True,n/a,4.05
4/14,False,n/a,6.24
4/16,True,n/a,1.35
4/17,False,n/a,4.91
4/20,False,n/a,3.86
4/21,True,n/a,5.5
4/22,True,n/a,4.91
4/23,True,n/a,2.37
4/25,True,n/a,4.05
4/26,True,n/a,4.3
4/27,True,n/a,3.7
4/29,True,n/a,3.13
4/30,True,n/a,5.4
5/1,False,n/a,1.69
5/4,False,n/a,2.78
5/5,False,n/a,4.91
5/6,True,n/a,3.45
5/7,True,n/a,2.84
5/9,True,n/a,1.96
5/10,False,n/a,6.14
5/11,False,n/a,5.18
5/14,True,n/a,2.83
5/15,False,n/a,3.44
5/16,True,n/a,4.88
5/17,True,n/a,5.89
5/18,True,n/a,1.59
5/19,True,n/a,4.66
5/21,False,n/a,2.41
5/23,True,n/a,2.46
5/24,True,n/a,6.02
5/25,True,n/a,2.91
5/26,False,n/a,4.86
5/28,False,n/a,5.3
5/29,True,n/a,2.57
5/31,True,n/a,4.79
6/1,False,n/a,3.63
6/4,False,n/a,2.9
6/5,True,n/a,5.03
6/6,True,n/a,3.14
6/10,False,n/a,2.22
6/11,False,n/a,3.65
6/12,True,n/a,4.4
6/13,True,n/a,2.77
6/15,True,n/a,4.82
6/16,False,n/a,3.27
6/17,False,n/a,4.93
6/18,False,n/a,3.23
6/19,True,n/a,5.82
6/22,True,n/a,2.08
6/23,False,n/a,5.02
6/24,True,n/a,5.16
6/25,True,n/a,4.95
6/26,False,n/a,3.21
6/27,False,n/a,3.89
6/28,True,n/a,5.21
6/29,True,n/a,3.28
6/30,True,n/a,3.42
7/1,False,n/a,4.09
7/2,True,n/a,4.3
7/3,False,n/a,4.88
7/4,True,n/a,6.19
7/6,True,n/a,5.3
7/7,True,n/a,5.2
7/9,False,n/a,7.57
7/10,True,n/a,4.23
7/11,True,n/a,4.49
7/16,False,n/a,3.41
7/18,True,n/a,3.08
7/19,False,n/a,4.36
7/21,False,n/a,4.56
8/8,True,n/a,4.86
8/11,True,n/a,4.81
8/12,True,n/a,3.55
8/14,False,n/a,5.64
8/16,False,n/a,4.74
8/17,False,n/a,4.39
8/18,True,n/a,2.27
8/19,False,n/a,4.63
8/20,True,n/a,3.95
8/21,False,n/a,3.38
8/22,False,n/a,2.97
8/23,True,n/a,6.8
8/24,False,n/a,2.06
8/25,True,n/a,3.6
8/28,True,n/a,3.73
8/29,True,n/a,4.76
8/30,False,n/a,4.65
8/31,True,n/a,3.42
9/1,False,n/a,3.98
9/3,True,n/a,3.49
9/5,True,n/a,8.13
9/6,True,n/a,3.6
9/7,True,n/a,2.3
9/8,False,n/a,4.53
9/10,True,n/a,5.0
9/11,False,n/a,6.18
9/12,True,n/a,3.45
9/14,False,n/a,2.91
9/17,True,n/a,3.87
9/18,True,n/a,3.39
9/19,False,n/a,1.67
9/21,True,n/a,3.26
9/23,True,n/a,4.72
9/25,True,n/a,4.85
9/28,False,n/a,4.48
10/3,False,n/a,3.62
