date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,False,n/a,0.0
4/12,True,n/a,6.0
4/14,True,n/a,3.86
4/15,True,n/a,6.0
4/16,True,n/a,5.14
4/17,False,n/a,2.25
4/18,True,n/a,5.25
4/20,False,n/a,17.49
4/21,False,n/a,1.13
4/22,True,n/a,7.5
4/24,False,n/a,4.32
4/25,False,n/a,0.86
4/26,True,n/a,7.31
4/27,True,n/a,3.6
4/28,True,n/a,1.42
4/29,True,n/a,1.69
5/15,False,n/a,4.3
5/16,True,n/a,4.23
5/17,False,n/a,3.14
5/18,True,n/a,3.88
5/19,False,n/a,6.02
5/20,True,n/a,3.09
5/21,False,n/a,3.0
5/22,False,n/a,9.68
5/23,False,n/a,5.08
5/25,False,n/a,3.28
5/26,True,n/a,4.56
5/27,True,n/a,4.5
5/28,False,n/a,4.47
5/29,False,n/a,5.4
5/30,True,n/a,3.98
5/31,True,n/a,5.63
6/1,True,n/a,3.82
6/2,False,n/a,5.04
6/3,True,n/a,3.55
6/4,True,n/a,2.95
6/5,True,n/a,3.74
6/6,True,n/a,2.54
6/7,False,n/a,4.83
6/8,False,n/a,5.33
6/9,True,n/a,3.47
6/10,True,n/a,0.0
6/11,False,n/a,3.1
6/12,False,n/a,5.22
6/13,True,n/a,3.46
6/15,True,n/a,2.23
6/16,True,n/a,4.91
6/17,False,n/a,4.55
6/18,True,n/a,5.4
6/19,False,n/a,3.94
6/22,True,n/a,3.18
6/23,True,n/a,4.72
6/24,False,n/a,5.21
6/25,False,n/a,inf
6/26,True,n/a,5.67
6/27,False,n/a,3.94
6/28,True,n/a,1.78
6/29,False,n/a,5.43
6/30,False,n/a,3.04
7/2,True,n/a,1.83
7/3,True,n/a,3.18
7/4,False,n/a,4.84
7/5,False,n/a,2.42
7/6,True,n/a,4.07
7/7,False,n/a,4.13
7/9,True,n/a,2.62
7/10,True,n/a,3.39
7/11,False,n/a,3.15
7/16,True,n/a,6.41
7/17,True,n/a,4.77
7/18,True,n/a,4.78
7/19,True,n/a,5.57
7/22,True,n/a,3.86
7/24,True,n/a,5.63
7/25,True,n/a,4.5
7/26,True,n/a,6.51
7/27,True,n/a,5.84
7/28,False,n/a,4.47
7/30,True,n/a,5.19
7/31,False,n/a,1.29
8/1,True,n/a,0.0
8/2,False,n/a,4.57
8/3,True,n/a,3.24
8/6,False,n/a,4.11
8/7,True,n/a,4.54
8/8,True,n/a,4.23
8/11,True,n/a,2.66
8/12,True,n/a,4.6
8/13,True,n/a,6.57
8/14,False,n/a,4.12
8/15,True,n/a,3.0
8/16,True,n/a,2.88
8/17,True,n/a,3.56
8/18,False,n/a,3.49
8/20,True,n/a,2.8
8/21,False,n/a,4.17
8/22,False,n/a,2.36
8/23,True,n/a,0.0
8/24,False,n/a,4.77
8/25,True,n/a,3.9
8/26,False,n/a,3.73
8/27,True,n/a,3.65
8/28,True,n/a,5.79
9/6,True,n/a,3.64
9/7,True,n/a,5.43
9/8,True,n/a,4.94
9/9,False,n/a,3.96
9/10,True,n/a,4.92
9/11,True,n/a,4.39
9/12,False,n/a,4.28
9/13,True,n/a,4.71
9/14,True,n/a,4.96
9/15,False,n/a,5.29
9/17,True,n/a,4.45
9/18,False,n/a,5.84
9/19,False,n/a,3.17
9/21,False,n/a,4.02
9/22,True,n/a,4.15
9/23,False,n/a,2.35
9/24,True,n/a,6.42
9/25,False,n/a,3.92
9/27,False,n/a,5.09
9/28,False,n/a,3.26
9/29,True,n/a,5.07
9/30,False,n/a,3.48
10/1,False,n/a,3.83
10/2,True,n/a,2.44
