date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,1.29
4/12,True,n/a,2.57
4/14,True,n/a,1.29
4/15,True,n/a,6.0
4/16,False,n/a,1.5
4/17,False,n/a,0.0
4/18,False,n/a,4.38
4/20,True,n/a,3.46
4/21,True,n/a,4.5
4/23,True,n/a,4.59
4/24,True,n/a,inf
4/25,True,n/a,16.55
4/28,True,n/a,3.92
4/29,False,n/a,7.43
4/30,False,n/a,2.14
5/1,True,n/a,3.28
5/2,False,n/a,5.79
5/3,True,n/a,inf
5/4,True,n/a,4.45
5/5,False,n/a,4.5
5/7,True,n/a,5.47
5/8,False,n/a,2.06
5/9,False,n/a,0.49
5/12,True,n/a,5.45
5/13,False,n/a,2.8
5/14,False,n/a,5.97
5/15,True,n/a,1.86
5/16,True,n/a,1.9
5/17,True,n/a,3.86
5/18,False,n/a,2.66
5/19,True,n/a,6.35
5/20,False,n/a,1.12
5/21,False,n/a,2.38
5/23,True,n/a,1.81
5/25,True,n/a,5.11
5/26,False,n/a,5.17
5/28,False,n/a,inf
5/31,True,n/a,4.82
6/1,True,n/a,5.6
6/2,True,n/a,5.01
6/3,True,n/a,1.5
6/4,True,n/a,6.13
6/5,True,n/a,3.73
6/6,True,n/a,4.4
6/7,True,n/a,6.09
6/8,False,n/a,3.7
6/9,True,n/a,5.0
6/10,False,n/a,3.77
6/11,True,n/a,2.47
6/13,False,n/a,2.71
6/15,True,n/a,5.48
6/16,False,n/a,4.02
6/17,False,n/a,inf
6/19,False,n/a,3.3
6/20,True,n/a,3.48
6/24,False,n/a,2.16
6/28,True,n/a,3.84
6/29,True,n/a,2.36
7/4,False,n/a,3.25
7/10,True,n/a,5.23
7/11,False,n/a,4.88
7/18,False,n/a,4.37
7/30,True,n/a,5.34
8/3,True,n/a,2.33
8/7,True,n/a,4.92
8/20,True,n/a,3.27
8/21,True,n/a,3.62
8/22,True,n/a,3.56
8/23,True,n/a,3.91
8/24,True,n/a,4.92
8/25,True,n/a,6.65
8/26,True,n/a,inf
8/27,True,n/a,5.22
8/28,False,n/a,3.36
8/29,True,n/a,5.23
8/30,False,n/a,3.68
8/31,False,n/a,3.87
9/1,False,n/a,2.15
9/3,False,n/a,3.82
9/4,False,n/a,3.41
9/5,True,n/a,4.92
9/6,True,n/a,3.86
9/7,False,n/a,5.34
9/8,False,n/a,4.63
9/9,True,n/a,4.1
9/10,True,n/a,5.33
9/12,False,n/a,2.41
9/13,False,n/a,18.92
9/14,False,n/a,4.61
9/19,False,n/a,3.49
9/20,True,n/a,5.11
9/21,False,n/a,5.36
9/24,True,n/a,3.9
9/30,True,n/a,4.64
10/1,False,n/a,4.24
