date,hitVal,otherInfo
4/5,False,n/a
4/7,True,n/a
4/9,True,n/a
4/10,False,n/a
4/11,False,n/a
4/14,True,n/a
4/15,True,n/a
4/16,True,n/a
4/17,True,n/a
4/20,True,n/a
4/22,True,n/a
4/23,True,n/a
4/25,True,n/a
4/27,True,n/a
4/28,True,n/a
4/29,True,n/a
4/30,True,n/a
5/1,True,n/a
5/2,True,n/a
5/5,True,n/a
5/12,True,n/a
5/16,False,n/a
5/17,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,True,n/a
5/26,True,n/a
5/29,True,n/a
5/31,False,n/a
6/1,False,n/a
6/6,True,n/a
6/8,False,n/a
6/19,True,n/a
6/24,False,n/a
6/25,True,n/a
6/30,True,n/a
7/2,True,n/a
7/3,True,n/a
7/4,True,n/a
7/9,False,n/a
7/31,True,n/a
8/14,True,n/a
8/17,False,n/a
8/18,True,n/a
8/20,True,n/a
8/21,True,n/a
9/1,True,n/a
9/5,False,n/a
9/15,True,n/a
9/18,True,n/a
9/23,True,n/a
9/24,False,n/a
9/25,True,n/a
9/28,True,n/a
9/29,False,n/a
10/2,True,n/a
