date,hitVal,otherInfo,opPitcherEra
4/7,False,n/a,inf
4/11,False,n/a,9.0
4/12,False,n/a,5.4
4/14,True,n/a,8.44
4/16,True,n/a,2.13
4/18,True,n/a,4.38
4/22,False,n/a,2.84
4/24,False,n/a,3.6
4/25,True,n/a,3.0
4/28,False,n/a,3.96
4/29,True,n/a,1.8
5/1,True,n/a,4.57
5/7,False,n/a,2.34
5/12,True,n/a,inf
5/13,True,n/a,1.51
5/14,False,n/a,6.19
5/17,False,n/a,6.44
5/23,True,n/a,3.06
5/26,False,n/a,5.26
5/28,True,n/a,4.97
6/5,False,n/a,3.29
6/7,True,n/a,5.86
6/9,False,n/a,4.78
6/12,False,n/a,3.15
6/24,True,n/a,4.44
7/3,True,n/a,2.86
7/5,True,n/a,3.0
7/10,True,n/a,1.13
7/11,False,n/a,3.24
7/18,False,n/a,3.44
7/21,True,n/a,4.86
7/26,True,n/a,4.71
7/27,False,n/a,3.52
7/28,True,n/a,inf
8/1,True,n/a,4.83
8/8,False,n/a,4.05
8/15,True,n/a,1.29
8/20,False,n/a,3.2
8/28,True,n/a,6.34
9/10,True,n/a,3.89
9/12,True,n/a,3.53
9/13,False,n/a,6.48
9/18,False,n/a,3.03
9/19,False,n/a,2.88
9/24,False,n/a,4.25
9/25,True,n/a,3.75
9/28,True,n/a,2.84
10/1,True,n/a,5.01
10/2,False,n/a,4.62
