date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/10,True,n/a,5.4
4/11,True,n/a,inf
4/14,True,n/a,4.77
4/15,False,n/a,inf
4/16,False,n/a,7.2
4/17,True,n/a,3.75
4/20,False,n/a,1.29
4/23,True,n/a,7.2
4/25,True,n/a,2.41
4/27,True,n/a,0.75
4/28,True,n/a,1.5
4/29,True,n/a,4.43
4/30,True,n/a,4.88
5/1,True,n/a,4.5
5/2,True,n/a,6.67
5/5,False,n/a,12.57
5/7,True,n/a,6.04
5/8,True,n/a,6.68
5/9,False,n/a,2.94
5/11,True,n/a,4.08
5/12,False,n/a,4.12
5/16,True,n/a,3.0
5/17,True,n/a,5.8
5/18,True,n/a,2.66
5/20,True,n/a,5.49
5/21,False,n/a,3.68
5/26,True,n/a,3.66
5/27,True,n/a,3.41
5/28,True,n/a,3.09
5/29,False,n/a,inf
5/30,False,n/a,2.38
5/31,True,n/a,5.11
6/1,True,n/a,4.79
6/4,False,n/a,4.4
6/6,True,n/a,3.04
6/8,True,n/a,2.64
6/10,False,n/a,4.97
6/11,False,n/a,5.9
6/19,False,n/a,3.29
6/24,False,n/a,3.39
6/25,False,n/a,5.07
6/26,True,n/a,4.85
6/29,True,n/a,4.6
6/30,False,n/a,6.0
7/2,False,n/a,4.49
7/5,True,n/a,3.77
7/6,True,n/a,1.8
7/7,False,n/a,4.74
7/9,True,n/a,4.06
7/11,False,n/a,4.72
7/21,True,n/a,3.35
7/28,False,n/a,6.08
8/6,True,n/a,4.01
8/7,True,n/a,6.36
8/10,True,n/a,3.15
8/12,True,n/a,3.06
8/13,False,n/a,3.46
8/14,False,n/a,2.89
8/15,True,n/a,5.89
8/16,True,n/a,4.86
8/17,False,n/a,3.41
8/19,True,n/a,2.32
8/20,True,n/a,3.92
8/21,True,n/a,3.41
8/25,False,n/a,11.39
8/28,True,n/a,3.82
8/29,True,n/a,3.25
9/1,True,n/a,4.97
9/3,False,n/a,2.57
9/4,True,n/a,3.26
9/7,True,n/a,2.36
9/10,False,n/a,4.71
9/11,False,n/a,4.69
9/12,True,n/a,3.8
9/14,True,n/a,2.38
9/17,False,n/a,3.95
9/21,True,n/a,3.08
9/22,True,n/a,3.21
9/23,False,n/a,3.27
9/25,False,n/a,3.28
9/26,True,n/a,3.77
9/27,False,n/a,1.95
9/28,True,n/a,2.91
9/29,False,n/a,1.2
