date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,7.2
4/11,False,n/a,inf
4/13,True,n/a,5.4
4/14,True,n/a,1.5
4/15,True,n/a,3.95
4/16,True,n/a,5.69
4/18,True,n/a,2.25
4/20,True,n/a,6.97
4/21,True,n/a,7.88
4/22,True,n/a,2.64
4/23,False,n/a,inf
4/24,True,n/a,8.16
4/25,False,n/a,11.75
4/27,True,n/a,2.59
5/25,False,n/a,3.74
5/26,True,n/a,3.09
5/28,False,n/a,0.68
5/29,True,n/a,5.4
5/30,True,n/a,3.09
5/31,True,n/a,4.57
6/1,False,n/a,5.35
6/3,False,n/a,2.86
6/4,True,n/a,4.66
6/5,True,n/a,3.78
6/6,True,n/a,2.3
6/7,True,n/a,5.15
6/8,True,n/a,2.76
6/9,False,n/a,2.05
6/11,True,n/a,5.23
6/12,True,n/a,5.4
6/13,True,n/a,3.2
6/15,True,n/a,5.17
6/16,True,n/a,2.68
6/23,False,n/a,4.45
6/24,True,n/a,5.08
6/25,False,n/a,3.68
6/26,True,n/a,4.9
6/27,True,n/a,2.48
6/28,True,n/a,3.46
6/29,True,n/a,2.72
6/30,True,n/a,3.03
7/2,True,n/a,4.63
7/3,True,n/a,4.42
7/4,True,n/a,4.57
7/5,True,n/a,4.97
7/6,True,n/a,4.45
7/7,False,n/a,1.82
7/8,True,n/a,4.67
7/9,True,n/a,3.76
7/10,True,n/a,3.31
7/11,True,n/a,2.96
7/15,False,n/a,3.29
7/16,True,n/a,2.17
7/17,True,n/a,2.11
7/18,True,n/a,5.69
7/19,True,n/a,2.57
7/20,True,n/a,2.94
7/21,True,n/a,3.51
7/22,False,n/a,4.69
7/23,False,n/a,2.87
7/24,True,n/a,4.02
7/27,False,n/a,3.61
7/28,False,n/a,3.57
7/29,False,n/a,2.48
7/30,True,n/a,3.12
7/31,True,n/a,3.49
8/1,False,n/a,3.14
8/2,True,n/a,3.48
9/3,True,n/a,4.07
9/4,False,n/a,3.11
9/6,True,n/a,1.68
9/7,True,n/a,2.26
9/8,True,n/a,7.2
9/10,True,n/a,2.91
9/11,False,n/a,3.61
9/14,False,n/a,4.14
9/15,False,n/a,3.19
9/16,True,n/a,3.29
9/17,False,n/a,2.75
9/19,True,n/a,4.46
9/21,True,n/a,3.7
9/22,False,n/a,1.99
9/23,True,n/a,2.84
9/26,True,n/a,4.46
9/27,True,n/a,3.01
9/28,True,n/a,4.71
10/3,False,n/a,5.03
