date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,9.66
4/11,False,n/a,inf
4/12,False,n/a,0.0
4/14,True,n/a,3.6
4/30,False,n/a,3.27
5/1,True,n/a,2.2
5/2,False,n/a,3.68
5/3,False,n/a,7.85
5/4,True,n/a,6.49
5/5,True,n/a,5.87
5/8,False,n/a,3.52
5/18,True,n/a,3.69
5/23,True,n/a,5.13
5/26,False,n/a,5.9
5/27,False,n/a,5.77
6/1,True,n/a,4.95
6/3,True,n/a,3.02
6/10,True,n/a,4.52
6/11,False,n/a,4.65
6/13,False,n/a,3.12
6/20,True,n/a,4.42
6/23,True,n/a,1.86
6/30,True,n/a,4.71
7/3,True,n/a,3.92
7/7,True,n/a,3.22
7/18,True,n/a,3.81
7/24,False,n/a,2.88
7/25,True,n/a,3.99
7/26,True,n/a,3.54
7/27,True,n/a,3.26
7/30,False,n/a,5.4
7/31,True,n/a,6.96
8/1,True,n/a,5.96
8/2,True,n/a,2.93
8/3,False,n/a,4.04
8/4,False,n/a,3.25
8/6,True,n/a,6.27
8/7,True,n/a,3.38
8/8,False,n/a,3.19
8/9,False,n/a,4.11
8/10,False,n/a,3.6
8/14,False,n/a,3.92
8/18,True,n/a,3.87
8/19,True,n/a,4.25
8/21,False,n/a,5.58
8/22,True,n/a,3.33
8/23,True,n/a,5.37
8/24,True,n/a,5.76
8/25,False,n/a,4.21
8/27,True,n/a,3.86
8/28,True,n/a,3.06
9/3,True,n/a,5.27
9/4,False,n/a,5.2
9/6,True,n/a,4.39
9/11,True,n/a,2.05
9/12,True,n/a,0.84
