date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,inf
4/14,True,n/a,0.0
4/16,False,n/a,8.31
4/18,True,n/a,12.97
4/21,True,n/a,2.37
4/22,True,n/a,14.73
4/23,True,n/a,3.15
4/24,True,n/a,inf
4/26,True,n/a,4.13
4/28,True,n/a,4.01
4/29,True,n/a,0.82
4/30,False,n/a,3.75
5/4,True,n/a,3.07
5/5,True,n/a,4.85
5/21,True,n/a,4.63
5/22,True,n/a,4.71
5/23,True,n/a,4.11
5/25,False,n/a,5.36
5/26,False,n/a,2.66
5/27,True,n/a,3.25
5/28,False,n/a,3.41
5/29,True,n/a,5.1
5/30,True,n/a,1.5
5/31,True,n/a,4.05
6/2,True,n/a,4.31
6/3,True,n/a,2.19
6/6,True,n/a,1.32
6/8,True,n/a,3.61
6/11,False,n/a,5.34
6/14,False,n/a,4.35
6/16,True,n/a,4.77
6/18,False,n/a,4.53
6/19,True,n/a,3.29
6/20,False,n/a,5.16
6/23,True,n/a,2.98
6/25,True,n/a,5.99
6/27,True,n/a,2.66
6/30,False,n/a,5.65
7/2,True,n/a,2.27
7/5,False,n/a,3.26
7/6,False,n/a,4.5
7/8,True,n/a,3.75
7/9,True,n/a,4.5
7/10,False,n/a,4.71
7/11,True,n/a,5.25
7/16,True,n/a,4.14
7/18,False,n/a,4.36
7/21,True,n/a,5.38
7/23,True,n/a,5.5
7/25,False,n/a,inf
7/26,False,n/a,4.26
7/27,True,n/a,7.56
7/28,True,n/a,2.57
7/30,False,n/a,0.0
7/31,False,n/a,4.8
8/24,True,n/a,2.1
9/13,True,n/a,2.91
9/14,False,n/a,5.16
9/15,True,n/a,2.81
9/17,True,n/a,3.28
9/18,True,n/a,3.6
9/20,True,n/a,4.85
9/29,False,n/a,2.92
