date,hitVal,otherInfo,opPitcherEra
4/14,True,n/a,11.25
4/15,True,n/a,0.0
4/22,True,n/a,1.29
4/24,True,n/a,3.18
4/27,True,n/a,2.4
5/16,True,n/a,inf
5/27,True,n/a,2.8
6/13,True,n/a,5.46
6/27,False,n/a,4.28
6/28,False,n/a,2.54
6/29,True,n/a,4.42
6/30,True,n/a,6.38
7/4,False,n/a,4.24
7/24,True,n/a,5.52
8/1,True,n/a,3.48
8/3,True,n/a,2.57
8/4,True,n/a,4.26
8/6,True,n/a,2.94
8/8,False,n/a,3.06
8/13,True,n/a,3.27
8/17,False,n/a,4.5
8/23,False,n/a,7.82
8/24,True,n/a,4.98
8/27,True,n/a,2.42
8/30,True,n/a,3.62
9/1,True,n/a,4.61
9/15,False,n/a,5.63
9/23,False,n/a,3.54
9/24,False,n/a,2.61
9/25,True,n/a,4.18
9/26,False,n/a,2.08
9/27,False,n/a,2.53
9/28,False,n/a,1.85
9/29,False,n/a,4.94
10/1,False,n/a,4.66
10/2,False,n/a,5.34
10/3,True,n/a,3.75
