date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,4.5
4/17,True,n/a,3.0
4/18,True,n/a,8.64
4/19,False,n/a,15.64
4/21,True,n/a,5.75
4/22,False,n/a,0.0
4/24,False,n/a,3.74
4/25,True,n/a,3.79
4/26,True,n/a,5.19
4/27,True,n/a,3.81
4/28,True,n/a,3.0
4/30,True,n/a,1.32
5/1,True,n/a,3.8
5/2,False,n/a,1.85
5/3,True,n/a,3.86
5/4,True,n/a,0.52
5/5,True,n/a,3.0
5/7,True,n/a,2.08
5/8,True,n/a,6.56
5/12,True,n/a,1.45
5/13,True,n/a,6.34
5/15,True,n/a,1.04
5/16,True,n/a,3.51
5/17,True,n/a,4.57
5/18,True,n/a,3.4
5/19,False,n/a,5.72
5/20,False,n/a,2.62
5/21,False,n/a,5.09
5/26,True,n/a,4.42
5/27,True,n/a,4.79
5/28,True,n/a,1.9
5/29,True,n/a,3.03
5/30,True,n/a,2.9
5/31,False,n/a,3.0
6/1,True,n/a,2.94
6/2,True,n/a,2.5
6/4,True,n/a,3.38
6/5,True,n/a,inf
6/6,True,n/a,4.31
6/7,False,n/a,5.07
6/8,True,n/a,6.5
6/9,False,n/a,4.01
6/10,True,n/a,3.22
6/11,True,n/a,3.06
6/12,True,n/a,5.49
6/13,True,n/a,inf
6/15,True,n/a,3.92
6/16,True,n/a,4.81
6/17,False,n/a,2.9
6/22,True,n/a,3.13
6/23,True,n/a,4.54
6/24,True,n/a,4.59
6/25,True,n/a,3.01
6/26,False,n/a,5.07
6/27,True,n/a,3.91
6/28,True,n/a,5.14
6/29,True,n/a,3.16
6/30,False,n/a,2.75
7/1,True,n/a,5.14
7/2,False,n/a,3.13
7/3,True,n/a,3.43
7/4,True,n/a,2.93
7/6,True,n/a,5.03
7/7,True,n/a,2.1
7/8,True,n/a,3.16
7/9,True,n/a,5.05
7/10,True,n/a,3.1
7/11,True,n/a,3.0
7/16,True,n/a,4.04
7/17,True,n/a,inf
7/18,False,n/a,1.96
7/19,True,n/a,3.66
7/21,False,n/a,4.66
7/23,True,n/a,2.4
7/24,True,n/a,4.82
7/25,True,n/a,0.0
7/26,True,n/a,6.03
7/27,False,n/a,5.22
7/28,True,n/a,4.39
7/29,True,n/a,4.13
7/30,True,n/a,3.71
7/31,True,n/a,3.22
8/1,True,n/a,3.76
8/3,False,n/a,3.54
8/4,True,n/a,2.7
8/5,False,n/a,inf
8/6,True,n/a,5.37
8/7,True,n/a,4.42
8/8,True,n/a,4.59
8/10,True,n/a,4.17
8/11,False,n/a,3.63
8/12,True,n/a,3.06
8/13,True,n/a,2.86
8/14,False,n/a,5.62
8/15,True,n/a,5.46
8/17,True,n/a,3.17
8/18,False,n/a,3.53
8/22,False,n/a,2.12
8/23,True,n/a,2.15
8/24,True,n/a,4.33
8/25,True,n/a,3.92
8/27,True,n/a,3.07
8/28,True,n/a,3.7
8/29,True,n/a,2.4
8/30,True,n/a,3.67
8/31,True,n/a,3.95
9/1,True,n/a,3.8
9/2,True,n/a,5.15
9/3,True,n/a,inf
9/4,True,n/a,3.29
9/5,True,n/a,3.5
9/6,True,n/a,4.92
9/7,True,n/a,3.41
9/8,True,n/a,3.84
9/9,False,n/a,3.09
9/10,False,n/a,4.42
9/12,True,n/a,4.01
9/13,True,n/a,3.27
9/14,True,n/a,3.52
9/15,True,n/a,3.36
9/17,True,n/a,3.32
9/18,True,n/a,4.62
9/19,True,n/a,2.86
9/21,True,n/a,4.88
9/22,True,n/a,4.98
9/23,True,n/a,3.8
9/24,False,n/a,3.6
9/25,True,n/a,3.99
9/26,True,n/a,3.0
9/27,True,n/a,4.11
9/28,True,n/a,3.27
9/29,False,n/a,4.09
10/1,False,n/a,3.88
