date,hitVal,otherInfo,opPitcherEra
4/12,True,n/a,5.4
4/14,False,n/a,8.44
4/16,True,n/a,2.13
4/17,False,n/a,4.05
4/21,False,n/a,3.6
4/23,True,n/a,5.4
4/24,True,n/a,3.6
4/25,True,n/a,3.0
4/27,True,n/a,2.65
4/28,False,n/a,3.96
5/1,False,n/a,4.57
5/8,True,n/a,2.79
5/13,True,n/a,1.51
5/14,False,n/a,6.19
5/23,False,n/a,3.06
5/25,True,n/a,3.86
5/27,True,n/a,6.1
5/28,True,n/a,4.97
5/29,False,n/a,5.58
5/30,False,n/a,7.29
5/31,True,n/a,3.74
6/1,True,n/a,4.84
6/2,True,n/a,5.77
6/3,True,n/a,5.68
6/4,False,n/a,4.48
6/5,False,n/a,3.29
6/6,False,n/a,4.73
6/8,True,n/a,2.74
6/10,True,n/a,3.29
6/11,False,n/a,3.2
6/22,True,n/a,4.53
6/23,False,n/a,4.3
6/30,True,n/a,5.22
7/1,True,n/a,6.2
7/2,False,n/a,3.88
7/3,False,n/a,4.69
7/4,False,n/a,3.68
7/5,False,n/a,5.11
7/9,True,n/a,3.96
7/16,False,n/a,3.71
7/18,False,n/a,5.56
7/19,False,n/a,4.57
7/20,False,n/a,5.65
7/24,True,n/a,4.37
7/25,False,n/a,5.07
7/30,False,n/a,inf
8/22,True,n/a,3.74
8/24,False,n/a,4.15
8/25,False,n/a,4.24
8/26,True,n/a,5.33
9/22,False,n/a,3.25
9/23,True,n/a,3.68
9/24,False,n/a,3.92
9/26,True,n/a,3.79
