date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,1.5
4/12,True,n/a,3.6
4/14,True,n/a,11.25
4/15,False,n/a,0.0
4/16,True,n/a,6.75
4/17,True,n/a,4.05
4/18,True,n/a,12.28
4/20,True,n/a,2.77
4/21,False,n/a,11.43
4/22,True,n/a,1.29
4/23,False,n/a,7.2
4/24,True,n/a,3.18
4/25,True,n/a,7.08
4/26,False,n/a,0.95
4/27,True,n/a,2.4
4/28,False,n/a,2.6
5/1,False,n/a,5.79
5/4,True,n/a,5.49
5/7,True,n/a,4.46
5/8,True,n/a,3.16
5/11,True,n/a,3.6
5/12,True,n/a,2.65
5/15,True,n/a,9.16
5/16,True,n/a,inf
5/17,False,n/a,5.68
5/18,True,n/a,3.06
5/19,True,n/a,inf
5/21,True,n/a,5.84
5/22,True,n/a,5.45
5/23,True,n/a,3.65
5/25,False,n/a,5.71
5/27,False,n/a,2.8
5/28,True,n/a,2.73
5/29,True,n/a,3.09
5/31,True,n/a,2.35
6/1,True,n/a,3.22
6/2,False,n/a,5.37
6/3,True,n/a,7.29
6/4,True,n/a,5.48
6/5,True,n/a,2.45
6/6,True,n/a,4.92
6/8,True,n/a,4.5
6/9,True,n/a,inf
6/10,False,n/a,5.43
6/12,False,n/a,3.49
6/13,True,n/a,5.46
6/15,False,n/a,6.3
6/16,True,n/a,3.56
6/17,True,n/a,4.22
6/18,False,n/a,5.64
6/19,True,n/a,5.62
6/20,True,n/a,4.94
6/21,True,n/a,4.16
6/22,True,n/a,3.0
6/25,False,n/a,5.06
6/26,False,n/a,6.5
6/29,False,n/a,4.42
6/30,True,n/a,6.38
7/1,True,n/a,3.55
7/2,False,n/a,3.84
7/4,True,n/a,4.24
7/6,True,n/a,2.74
7/9,True,n/a,2.98
7/10,False,n/a,3.15
7/11,True,n/a,2.86
7/16,True,n/a,4.55
7/18,True,n/a,3.09
7/19,True,n/a,3.42
7/21,True,n/a,3.96
7/22,False,n/a,1.5
7/23,True,n/a,5.83
7/24,False,n/a,5.52
7/27,False,n/a,4.12
7/31,False,n/a,3.86
8/1,False,n/a,3.17
8/3,False,n/a,3.2
8/4,True,n/a,3.57
8/6,True,n/a,3.63
8/7,True,n/a,3.69
8/8,False,n/a,2.72
8/10,False,n/a,4.99
8/11,False,n/a,4.63
9/5,True,n/a,6.04
9/8,False,n/a,6.63
