date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,True,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,1.5
4/12,True,n/a,0.0
4/14,False,n/a,3.38
4/15,False,n/a,2.57
4/21,True,n/a,9.58
4/23,True,n/a,4.95
4/24,True,n/a,5.06
4/26,True,n/a,4.09
4/27,True,n/a,4.82
4/30,True,n/a,4.84
5/1,False,n/a,3.41
5/2,True,n/a,3.34
5/3,False,n/a,0.79
5/4,False,n/a,7.33
5/5,False,n/a,5.52
5/9,True,n/a,2.48
5/12,True,n/a,2.79
5/14,False,n/a,6.51
5/16,False,n/a,4.82
5/17,False,n/a,3.38
5/19,False,n/a,6.54
5/22,True,n/a,4.77
5/23,True,n/a,3.95
5/25,False,n/a,2.49
5/27,False,n/a,4.5
5/29,True,n/a,inf
5/30,True,n/a,2.08
6/1,False,n/a,2.55
6/4,True,n/a,1.99
6/6,True,n/a,5.69
6/8,True,n/a,2.39
6/10,True,n/a,2.76
6/11,True,n/a,3.06
6/12,True,n/a,2.77
6/13,True,n/a,3.77
6/14,False,n/a,3.38
6/19,True,n/a,5.16
6/20,True,n/a,2.77
6/22,True,n/a,4.95
6/23,False,n/a,4.5
6/24,True,n/a,4.16
6/25,False,n/a,4.39
6/26,False,n/a,1.8
6/27,True,n/a,3.3
6/28,False,n/a,1.6
6/29,True,n/a,4.31
7/1,True,n/a,5.63
7/2,True,n/a,3.55
7/3,True,n/a,6.84
7/4,True,n/a,3.61
7/6,False,n/a,2.98
7/7,False,n/a,3.38
7/16,False,n/a,4.36
7/17,True,n/a,4.4
7/18,True,n/a,4.92
7/20,True,n/a,4.75
7/21,False,n/a,4.19
7/27,False,n/a,4.22
7/29,False,n/a,3.41
7/30,False,n/a,4.76
7/31,False,n/a,4.35
8/1,False,n/a,1.72
8/5,False,n/a,3.78
8/6,False,n/a,1.13
8/7,True,n/a,4.64
8/15,True,n/a,3.41
8/18,False,n/a,8.64
9/23,False,n/a,3.36
9/27,False,n/a,3.56
