date,hitVal,otherInfo,opPitcherEra
4/11,False,n/a,inf
4/15,False,n/a,4.5
4/19,True,n/a,3.24
4/21,True,n/a,1.38
4/22,True,n/a,2.08
4/24,False,n/a,4.34
4/26,False,n/a,1.93
4/28,True,n/a,5.41
5/3,True,n/a,5.74
5/5,True,n/a,5.77
5/6,False,n/a,5.57
5/8,False,n/a,2.74
5/11,True,n/a,3.82
5/15,True,n/a,3.99
5/16,False,n/a,inf
5/18,False,n/a,3.71
5/19,True,n/a,4.93
5/20,False,n/a,2.63
5/21,False,n/a,4.29
5/27,True,n/a,4.73
5/30,True,n/a,2.91
6/1,True,n/a,3.54
6/3,True,n/a,1.88
6/4,True,n/a,3.18
6/5,True,n/a,3.84
6/6,False,n/a,5.28
6/7,True,n/a,3.53
6/8,True,n/a,6.08
6/10,True,n/a,3.54
6/11,False,n/a,3.98
6/15,False,n/a,3.17
6/19,True,n/a,6.65
6/25,False,n/a,2.91
6/26,False,n/a,inf
6/27,True,n/a,2.86
6/29,True,n/a,4.55
6/30,False,n/a,4.1
7/2,False,n/a,6.83
7/4,True,n/a,4.9
7/5,True,n/a,4.08
7/6,False,n/a,2.8
7/7,False,n/a,2.42
7/9,True,n/a,3.4
7/10,True,n/a,4.69
7/11,True,n/a,7.3
7/15,True,n/a,2.34
7/16,False,n/a,3.33
7/17,False,n/a,2.88
7/18,False,n/a,3.35
7/20,True,n/a,3.83
7/21,True,n/a,3.63
7/22,True,n/a,6.19
7/23,True,n/a,2.97
7/25,False,n/a,3.56
7/28,True,n/a,5.62
7/31,True,n/a,4.45
8/2,True,n/a,3.92
8/3,True,n/a,6.04
8/5,False,n/a,1.46
8/7,False,n/a,3.19
8/8,True,n/a,4.13
8/9,True,n/a,3.96
8/10,False,n/a,3.37
8/11,True,n/a,3.44
8/12,False,n/a,4.09
8/14,True,n/a,3.37
8/15,True,n/a,3.3
8/18,True,n/a,6.36
8/20,False,n/a,3.96
8/21,False,n/a,3.43
8/22,True,n/a,3.69
8/25,True,n/a,3.7
8/27,False,n/a,2.97
8/28,False,n/a,3.62
8/31,True,n/a,4.79
9/4,True,n/a,3.65
9/5,True,n/a,3.95
9/7,True,n/a,2.92
9/8,False,n/a,3.47
9/10,False,n/a,2.72
9/11,False,n/a,2.98
9/12,False,n/a,3.47
9/14,False,n/a,3.9
9/17,False,n/a,4.12
9/18,True,n/a,3.72
9/19,True,n/a,3.58
9/20,True,n/a,4.68
9/22,True,n/a,5.14
9/24,True,n/a,2.81
9/26,True,n/a,4.31
9/27,False,n/a,4.27
9/30,True,n/a,3.74
10/2,True,n/a,3.17
10/3,False,n/a,4.78
