date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,4.05
4/11,True,n/a,1.5
4/12,True,n/a,4.5
4/14,True,n/a,1.8
4/15,False,n/a,1.5
4/16,True,n/a,3.46
4/17,False,n/a,3.75
4/18,False,n/a,0.75
4/20,False,n/a,5.11
4/21,True,n/a,3.86
4/22,True,n/a,1.8
4/23,False,n/a,2.12
4/24,True,n/a,7.05
4/26,True,n/a,7.2
4/27,True,n/a,4.56
4/28,True,n/a,7.66
4/29,True,n/a,8.38
4/30,False,n/a,inf
5/1,True,n/a,2.23
5/2,True,n/a,1.67
5/3,True,n/a,4.2
5/4,True,n/a,inf
5/5,True,n/a,10.8
5/6,True,n/a,3.52
5/7,False,n/a,2.27
5/8,True,n/a,9.89
5/9,False,n/a,5.03
5/11,True,n/a,5.4
5/12,True,n/a,3.53
5/13,True,n/a,6.38
5/14,True,n/a,3.12
5/15,False,n/a,3.42
5/16,False,n/a,6.69
5/18,True,n/a,2.47
5/19,True,n/a,4.13
5/20,True,n/a,4.18
5/21,True,n/a,4.65
5/22,True,n/a,4.13
5/23,True,n/a,3.35
5/25,True,n/a,6.75
5/26,True,n/a,5.37
5/28,True,n/a,4.53
5/29,True,n/a,4.17
5/30,False,n/a,4.48
6/1,True,n/a,4.38
6/2,True,n/a,6.02
6/3,False,n/a,5.26
6/4,True,n/a,4.04
6/5,True,n/a,3.62
6/7,True,n/a,2.91
6/8,True,n/a,3.26
6/9,True,n/a,4.64
6/10,True,n/a,6.66
6/11,True,n/a,5.84
6/12,True,n/a,3.97
6/13,True,n/a,2.41
6/15,True,n/a,1.91
6/16,True,n/a,3.36
6/17,True,n/a,5.05
6/18,True,n/a,5.6
6/19,True,n/a,6.33
6/20,True,n/a,4.5
6/22,True,n/a,5.22
6/24,True,n/a,4.72
6/25,True,n/a,5.86
6/26,True,n/a,inf
6/27,True,n/a,3.08
6/29,True,n/a,4.21
6/30,True,n/a,5.43
7/1,False,n/a,2.98
7/2,True,n/a,4.66
7/3,True,n/a,3.62
7/4,True,n/a,4.58
7/5,True,n/a,5.56
7/6,True,n/a,4.85
7/7,True,n/a,3.86
7/8,True,n/a,4.64
7/9,True,n/a,4.56
7/10,False,n/a,8.41
7/15,True,n/a,5.22
7/16,False,n/a,4.22
7/17,True,n/a,4.78
7/18,True,n/a,2.78
7/19,True,n/a,4.79
7/20,True,n/a,4.45
7/21,False,n/a,4.74
7/22,True,n/a,3.14
7/23,True,n/a,4.83
7/24,True,n/a,3.63
7/25,True,n/a,6.06
7/27,True,n/a,3.75
7/28,True,n/a,3.15
7/29,True,n/a,3.46
7/30,True,n/a,3.55
8/3,False,n/a,3.2
8/4,True,n/a,3.57
8/5,True,n/a,2.79
8/6,True,n/a,3.63
8/7,False,n/a,3.69
8/8,True,n/a,2.72
8/10,True,n/a,4.99
8/11,True,n/a,4.63
8/13,True,n/a,6.21
8/14,True,n/a,2.94
8/15,False,n/a,4.1
8/16,True,n/a,2.84
8/17,False,n/a,3.92
8/18,False,n/a,4.99
8/19,False,n/a,5.28
8/20,True,n/a,5.23
8/21,True,n/a,5.8
8/22,True,n/a,5.49
8/23,True,n/a,6.67
8/24,True,n/a,3.52
8/25,True,n/a,1.92
8/26,False,n/a,3.45
8/27,True,n/a,2.86
8/28,True,n/a,3.49
8/29,True,n/a,3.24
8/30,True,n/a,5.41
8/31,True,n/a,6.0
9/3,True,n/a,inf
9/4,False,n/a,3.52
10/1,False,n/a,3.01
10/2,True,n/a,3.83
10/3,True,n/a,2.86
