date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/10,True,n/a,54.14
4/13,True,n/a,1.8
4/16,True,n/a,3.0
4/18,False,n/a,5.73
4/22,True,n/a,8.05
4/23,True,n/a,3.12
4/27,True,n/a,4.27
4/29,False,n/a,2.42
5/1,False,n/a,6.55
5/2,False,n/a,3.48
5/4,True,n/a,7.15
5/8,True,n/a,2.48
5/10,False,n/a,3.6
5/12,True,n/a,5.13
5/14,True,n/a,1.18
5/16,False,n/a,1.7
5/18,False,n/a,3.99
5/21,True,n/a,4.27
5/23,True,n/a,5.36
5/24,False,n/a,4.91
5/26,True,n/a,5.31
5/28,True,n/a,4.33
7/10,False,n/a,2.33
7/16,False,n/a,4.09
7/17,False,n/a,4.94
7/19,False,n/a,3.35
7/21,True,n/a,2.03
7/22,True,n/a,3.28
7/23,True,n/a,6.09
7/25,True,n/a,5.12
7/26,True,n/a,5.2
7/28,True,n/a,5.93
7/31,True,n/a,4.37
8/2,False,n/a,4.36
8/6,True,n/a,3.49
8/8,True,n/a,4.5
8/11,False,n/a,2.07
8/15,True,n/a,3.33
8/17,False,n/a,1.59
8/20,True,n/a,3.73
8/22,True,n/a,3.03
8/25,True,n/a,3.2
8/28,True,n/a,4.56
8/30,True,n/a,4.74
8/31,False,n/a,3.5
9/3,True,n/a,2.33
9/5,True,n/a,2.92
9/8,False,n/a,5.21
9/10,True,n/a,5.44
9/13,True,n/a,2.95
9/15,False,n/a,4.88
9/18,True,n/a,3.27
9/20,False,n/a,4.12
9/24,True,n/a,0.9
9/26,True,n/a,3.53
9/30,True,n/a,2.89
10/2,True,n/a,3.76
