date,hitVal,otherInfo
4/5,True,n/a
4/6,True,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/10,False,n/a
4/11,True,n/a
4/12,True,n/a
4/14,False,n/a
4/15,True,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/20,False,n/a
4/21,False,n/a
4/23,True,n/a
4/24,False,n/a
4/25,True,n/a
4/27,True,n/a
4/28,True,n/a
4/30,True,n/a
5/1,True,n/a
5/2,True,n/a
5/3,True,n/a
5/4,True,n/a
5/25,True,Suspended-Valid.
5/26,False,n/a
5/27,True,n/a
5/28,False,n/a
5/29,True,n/a
5/30,False,n/a
5/31,False,n/a
6/1,True,n/a
6/2,False,n/a
6/4,False,n/a
7/3,True,n/a
7/4,False,n/a
7/7,True,n/a
7/8,True,n/a
7/9,True,n/a
7/10,False,n/a
7/15,True,n/a
7/16,True,n/a
7/17,False,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/21,True,n/a
7/22,True,n/a
7/23,False,n/a
7/24,True,n/a
7/26,True,n/a
7/27,True,n/a
7/30,True,n/a
7/31,False,n/a
8/1,False,n/a
8/2,False,n/a
8/4,True,n/a
8/5,True,n/a
8/6,True,n/a
8/7,True,n/a
8/8,True,n/a
8/10,True,n/a
8/11,False,n/a
8/17,False,n/a
8/18,False,n/a
8/20,True,n/a
8/21,False,n/a
8/23,False,n/a
8/25,True,n/a
8/26,True,n/a
8/28,True,n/a
8/29,True,n/a
8/31,False,n/a
9/1,False,n/a
9/2,False,n/a
9/3,True,n/a
9/4,True,n/a
9/5,True,n/a
9/6,False,n/a
9/7,True,n/a
9/8,True,n/a
9/10,True,n/a
9/11,True,n/a
9/14,True,n/a
9/15,True,n/a
9/16,True,n/a
9/17,True,n/a
9/18,False,n/a
9/19,False,n/a
9/20,True,n/a
9/25,True,n/a
9/30,False,n/a
10/1,False,n/a
