date,hitVal,otherInfo
4/5,False,n/a
4/8,True,n/a
4/9,False,n/a
4/14,False,n/a
4/16,True,n/a
4/19,True,n/a
4/21,False,n/a
4/22,True,n/a
4/23,False,n/a
5/2,True,n/a
5/5,True,n/a
5/6,True,n/a
5/7,False,n/a
5/8,True,n/a
5/12,False,n/a
5/15,False,n/a
5/17,True,n/a
5/21,True,n/a
5/31,False,n/a
6/11,False,n/a
6/12,False,n/a
6/16,False,n/a
6/25,True,n/a
7/3,True,n/a
7/9,True,n/a
7/19,False,n/a
7/22,True,n/a
7/25,False,n/a
7/28,False,n/a
8/11,False,n/a
8/12,True,n/a
8/14,False,n/a
8/18,True,n/a
8/19,True,n/a
8/21,True,n/a
8/23,False,n/a
8/26,True,n/a
8/29,False,n/a
9/6,False,n/a
9/17,False,n/a
9/19,True,n/a
9/20,False,n/a
9/24,True,n/a
9/29,False,n/a
