date,hitVal,otherInfo
4/5,True,n/a
4/6,False,n/a
4/9,True,n/a
4/10,True,n/a
4/11,False,n/a
4/13,True,n/a
4/16,True,n/a
4/17,True,n/a
4/19,False,n/a
4/20,True,n/a
4/21,True,n/a
4/24,False,n/a
5/10,True,n/a
5/12,True,n/a
5/13,False,n/a
5/15,True,n/a
5/16,False,n/a
5/17,False,n/a
5/18,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,False,n/a
5/25,True,n/a
5/26,True,n/a
5/27,False,n/a
5/28,False,n/a
5/29,True,n/a
5/30,False,n/a
5/31,True,n/a
6/1,False,n/a
6/2,False,n/a
6/4,False,n/a
6/5,False,n/a
6/6,True,n/a
6/7,True,n/a
6/8,True,n/a
6/9,True,n/a
6/10,False,n/a
6/11,False,n/a
6/12,False,n/a
6/13,False,n/a
6/16,False,n/a
6/17,True,n/a
6/18,True,n/a
6/19,True,n/a
6/20,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,True,n/a
6/25,False,n/a
6/30,False,n/a
7/8,True,n/a
7/9,False,n/a
7/17,False,n/a
7/19,True,n/a
7/21,False,n/a
7/24,False,n/a
7/27,True,n/a
7/28,True,n/a
7/30,True,n/a
7/31,False,n/a
8/3,False,n/a
8/4,False,n/a
8/5,True,n/a
8/7,True,n/a
8/10,False,n/a
8/13,True,n/a
9/1,False,n/a
9/4,True,n/a
9/8,True,n/a
9/11,True,n/a
9/12,False,n/a
9/19,False,n/a
9/25,True,n/a
9/29,True,n/a
10/2,False,n/a
