date,hitVal,otherInfo
4/20,True,n/a
4/24,True,n/a
4/28,True,n/a
5/9,True,n/a
5/14,False,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/30,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,True,n/a
6/20,True,n/a
6/22,True,n/a
6/23,False,n/a
6/24,False,n/a
7/5,True,n/a
7/11,False,n/a
7/20,True,n/a
7/25,True,n/a
7/27,True,n/a
7/30,True,n/a
7/31,False,n/a
8/1,True,n/a
8/4,False,n/a
8/5,False,n/a
8/6,False,n/a
8/7,False,n/a
8/10,True,n/a
8/13,True,n/a
8/14,True,n/a
8/15,False,n/a
8/16,False,n/a
8/17,True,n/a
8/19,True,n/a
8/21,True,n/a
8/24,True,n/a
8/25,True,n/a
8/26,False,n/a
9/1,True,n/a
9/5,True,n/a
9/6,False,n/a
9/8,True,n/a
9/10,False,n/a
9/14,False,n/a
9/18,False,n/a
9/19,False,n/a
9/22,True,n/a
9/25,False,n/a
9/26,False,n/a
9/30,True,n/a
