date,hitVal,otherInfo
4/10,True,n/a
4/11,True,n/a
4/12,True,n/a
4/14,True,n/a
4/15,False,n/a
4/16,True,Suspended-Valid.
4/17,False,n/a
4/18,False,n/a
4/19,True,n/a
4/20,True,n/a
4/23,True,n/a
4/24,True,n/a
4/25,False,n/a
4/27,True,n/a
4/30,False,n/a
5/4,True,n/a
5/5,False,n/a
5/6,True,n/a
5/7,False,n/a
5/9,True,n/a
5/10,True,n/a
5/12,False,n/a
5/14,False,n/a
5/16,True,n/a
5/17,False,n/a
5/18,True,n/a
5/19,True,n/a
5/22,True,n/a
5/23,False,n/a
5/24,True,n/a
5/25,False,n/a
5/26,True,n/a
5/27,False,n/a
5/28,False,n/a
5/29,False,n/a
6/2,False,n/a
6/3,True,n/a
6/4,True,n/a
6/9,False,n/a
7/24,True,n/a
7/25,False,n/a
7/26,False,n/a
7/27,False,n/a
7/28,False,n/a
7/30,False,n/a
9/7,True,n/a
9/10,False,n/a
9/11,True,n/a
9/12,False,n/a
9/13,True,n/a
9/14,False,n/a
9/20,True,n/a
9/24,True,n/a
9/26,False,n/a
9/27,True,n/a
9/28,True,n/a
9/29,False,n/a
9/30,True,n/a
10/1,True,n/a
10/2,True,n/a
