date,hitVal,otherInfo
4/5,False,n/a
4/7,True,n/a
4/9,True,n/a
4/11,False,n/a
4/12,True,n/a
4/14,False,n/a
4/15,True,n/a
4/17,False,n/a
4/20,True,n/a
4/21,True,n/a
4/24,True,n/a
4/25,True,n/a
4/28,True,n/a
4/30,False,n/a
5/3,True,n/a
5/5,True,n/a
5/7,True,n/a
5/9,True,n/a
5/11,True,n/a
5/15,True,n/a
5/17,False,n/a
5/19,False,n/a
5/20,True,n/a
5/22,False,n/a
5/25,True,n/a
5/27,True,n/a
5/29,True,n/a
5/30,False,n/a
5/31,False,n/a
6/1,True,n/a
6/4,True,n/a
6/5,False,n/a
6/7,True,n/a
6/8,False,n/a
6/10,True,n/a
6/12,True,n/a
6/13,True,n/a
6/15,True,n/a
6/16,True,n/a
6/19,False,n/a
6/21,True,n/a
6/23,False,n/a
6/25,True,n/a
6/26,False,n/a
6/28,True,n/a
6/29,True,n/a
6/30,True,n/a
7/2,True,n/a
7/3,False,n/a
7/4,True,n/a
7/22,False,n/a
7/24,True,n/a
7/27,True,n/a
7/30,True,n/a
8/1,True,n/a
8/3,True,n/a
8/4,False,n/a
8/7,True,n/a
8/9,True,n/a
8/10,True,n/a
8/13,False,n/a
8/14,True,n/a
8/18,True,n/a
8/19,True,n/a
8/21,True,n/a
8/23,False,n/a
8/24,True,n/a
8/27,False,n/a
8/29,True,n/a
9/1,False,n/a
9/4,True,n/a
9/6,True,n/a
9/7,False,n/a
9/9,True,n/a
9/11,True,n/a
9/12,True,n/a
9/14,False,n/a
9/16,False,n/a
9/17,False,n/a
9/19,True,n/a
9/21,True,n/a
9/22,False,n/a
9/24,True,n/a
9/25,True,n/a
9/28,False,n/a
10/1,True,n/a
