date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/9,False,n/a,inf
4/16,True,n/a,7.2
4/20,True,n/a,1.29
4/23,True,n/a,7.2
4/28,False,n/a,1.5
5/5,False,n/a,12.57
5/9,False,n/a,2.94
5/17,True,n/a,5.8
5/20,False,n/a,5.49
5/23,True,n/a,2.55
5/26,True,n/a,3.66
5/29,True,n/a,inf
6/1,True,n/a,4.79
6/5,True,n/a,2.78
6/6,True,n/a,3.04
6/8,True,n/a,2.64
6/11,False,n/a,5.9
6/13,False,n/a,6.18
6/15,True,n/a,2.91
6/19,False,n/a,3.29
6/24,False,n/a,3.39
6/29,True,n/a,4.6
6/30,False,n/a,6.0
7/2,False,n/a,4.49
7/9,False,n/a,4.06
7/21,False,n/a,3.35
7/27,False,n/a,3.24
7/28,True,n/a,6.08
8/7,False,n/a,6.36
8/8,True,n/a,2.3
8/9,True,n/a,3.2
8/10,True,n/a,3.15
8/12,True,n/a,3.06
8/13,True,n/a,3.46
8/14,True,n/a,2.89
8/15,True,n/a,5.89
8/16,False,n/a,4.86
8/17,False,n/a,3.41
8/19,False,n/a,2.32
8/20,True,n/a,3.92
8/21,False,n/a,3.41
8/22,False,n/a,3.75
8/28,True,n/a,3.82
8/30,True,n/a,4.83
8/31,True,n/a,4.98
9/1,True,n/a,4.97
9/7,False,n/a,2.36
9/15,True,n/a,3.09
9/21,False,n/a,3.08
9/22,True,n/a,3.21
9/23,True,n/a,3.27
9/24,False,n/a,2.45
9/25,False,n/a,3.28
9/27,False,n/a,1.95
9/28,True,n/a,2.91
9/29,True,n/a,1.2
9/30,True,n/a,3.58
10/2,True,n/a,2.8
10/3,False,n/a,3.54
