date,hitVal,otherInfo,opPitcherEra
4/11,False,n/a,0.0
4/16,True,n/a,5.14
4/23,True,n/a,10.38
4/29,True,n/a,1.69
5/8,True,n/a,5.41
5/11,True,n/a,4.2
5/12,True,n/a,3.07
5/14,True,n/a,3.48
5/15,True,n/a,4.3
5/16,True,n/a,4.23
5/17,True,n/a,3.14
5/19,False,n/a,6.02
5/20,True,n/a,3.09
5/21,True,n/a,3.0
5/22,True,n/a,9.68
5/25,True,n/a,3.28
5/27,False,n/a,4.5
5/31,True,n/a,5.63
6/2,False,n/a,5.04
6/3,True,n/a,3.55
6/5,True,n/a,3.74
6/6,False,n/a,2.54
6/7,True,n/a,4.83
6/8,True,n/a,5.33
6/9,False,n/a,3.47
6/12,True,n/a,5.22
6/13,True,n/a,3.46
6/16,True,n/a,4.91
6/17,False,n/a,4.55
6/18,True,n/a,5.4
6/19,False,n/a,3.94
6/20,True,n/a,6.02
6/24,True,n/a,5.21
6/26,True,n/a,5.67
6/27,True,n/a,3.94
6/28,False,n/a,1.78
6/29,False,n/a,5.43
6/30,True,n/a,3.04
7/2,False,n/a,1.83
7/3,False,n/a,3.18
7/4,False,n/a,4.84
7/5,False,n/a,2.42
7/9,False,n/a,2.62
7/10,True,n/a,3.39
7/15,True,n/a,4.14
7/21,False,n/a,3.45
7/23,True,n/a,2.12
7/24,True,n/a,3.62
7/25,True,n/a,4.78
7/27,True,n/a,4.51
7/28,False,n/a,3.12
7/30,True,n/a,3.18
7/31,False,n/a,4.21
8/1,False,n/a,8.26
8/3,False,n/a,2.32
8/4,False,n/a,4.11
8/5,True,n/a,3.1
8/7,False,n/a,2.98
8/9,False,n/a,5.65
8/13,False,n/a,3.65
8/15,True,n/a,3.32
8/18,False,n/a,3.08
8/19,False,n/a,5.23
8/23,True,n/a,4.36
8/27,True,n/a,4.82
8/29,True,n/a,2.36
9/1,False,n/a,3.61
9/9,True,n/a,2.34
