date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,False,n/a,inf
4/10,True,n/a,inf
4/14,True,n/a,4.5
4/16,False,n/a,4.5
4/18,False,n/a,8.64
4/21,False,n/a,5.75
4/24,False,n/a,3.74
5/27,False,n/a,4.79
5/30,True,n/a,2.9
6/2,True,n/a,2.5
6/5,True,n/a,inf
6/9,True,n/a,4.01
6/13,True,n/a,inf
6/16,False,n/a,4.81
6/17,False,n/a,2.9
6/20,False,n/a,5.08
6/25,True,n/a,3.01
6/27,True,n/a,3.91
6/30,True,n/a,2.75
7/4,True,n/a,2.93
7/7,True,n/a,2.1
7/10,False,n/a,3.1
7/18,True,n/a,1.96
7/20,True,n/a,5.1
7/21,False,n/a,4.66
7/24,True,n/a,4.82
7/30,True,n/a,3.71
8/1,False,n/a,3.76
8/4,True,n/a,2.7
8/6,True,n/a,5.37
8/8,False,n/a,4.59
8/11,True,n/a,3.63
8/14,False,n/a,5.62
8/17,False,n/a,3.17
8/20,True,n/a,4.38
8/21,True,n/a,2.91
8/23,False,n/a,2.15
8/25,False,n/a,3.92
8/29,True,n/a,2.4
9/2,True,n/a,5.15
9/4,True,n/a,3.29
9/9,True,n/a,3.09
9/12,False,n/a,4.01
9/23,False,n/a,3.8
9/25,True,n/a,3.99
9/27,False,n/a,4.11
9/28,False,n/a,3.27
9/30,True,n/a,3.31
10/2,False,n/a,7.09
10/3,False,n/a,4.53
