date,hitVal,otherInfo,opPitcherEra
4/9,False,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,0.0
4/23,True,n/a,10.38
4/24,False,n/a,4.32
4/29,True,n/a,1.69
4/30,True,n/a,3.81
5/1,True,n/a,3.65
5/2,True,n/a,5.61
5/4,False,n/a,0.87
5/5,True,n/a,2.25
5/6,False,n/a,4.36
5/7,False,n/a,5.7
5/8,False,n/a,5.41
5/9,True,n/a,4.42
5/10,False,n/a,8.14
5/11,True,n/a,4.2
5/12,True,n/a,3.07
5/14,True,n/a,3.48
5/23,True,n/a,5.08
5/30,False,n/a,3.98
6/1,True,n/a,3.82
6/3,False,n/a,3.55
6/4,True,n/a,2.95
6/5,True,n/a,3.74
6/6,True,n/a,2.54
6/7,True,n/a,4.83
6/8,True,n/a,5.33
6/10,False,n/a,0.0
6/11,False,n/a,3.1
6/20,True,n/a,6.02
6/22,False,n/a,3.18
6/23,False,n/a,4.72
6/25,True,n/a,inf
7/3,True,n/a,3.18
7/5,False,n/a,2.42
7/6,True,n/a,4.07
7/7,True,n/a,4.13
7/9,True,n/a,2.62
7/10,True,n/a,3.39
7/11,True,n/a,3.15
7/17,False,n/a,6.03
7/18,True,n/a,4.65
7/20,False,n/a,3.3
7/29,True,n/a,3.77
7/30,True,n/a,3.18
7/31,True,n/a,4.21
8/1,True,n/a,8.26
8/2,True,n/a,3.11
8/3,True,n/a,2.32
8/4,True,n/a,4.11
8/5,True,n/a,3.1
8/6,True,n/a,3.38
8/7,True,n/a,2.98
8/8,True,n/a,3.38
8/9,True,n/a,5.65
8/10,False,n/a,5.25
8/11,True,n/a,4.34
8/13,True,n/a,3.65
8/14,True,n/a,3.42
8/15,True,n/a,3.32
8/16,True,n/a,3.78
8/17,True,n/a,5.12
8/18,True,n/a,3.08
8/19,True,n/a,5.23
8/20,True,n/a,3.62
8/21,True,n/a,3.85
8/22,True,n/a,4.44
8/23,True,n/a,4.36
8/24,True,n/a,4.74
8/25,True,n/a,4.53
8/27,False,n/a,4.82
8/28,True,n/a,4.22
8/29,False,n/a,2.36
8/30,True,n/a,3.5
8/31,True,n/a,3.63
9/1,True,n/a,3.61
9/2,True,n/a,3.02
9/3,False,n/a,4.5
9/4,True,n/a,2.28
9/5,True,n/a,3.98
9/6,False,n/a,6.31
9/7,True,n/a,5.03
9/8,True,n/a,5.24
9/9,True,n/a,2.34
9/10,True,n/a,2.9
9/11,True,n/a,3.89
9/12,True,n/a,7.13
9/13,True,n/a,7.2
9/14,False,n/a,3.82
9/15,True,n/a,4.69
9/17,True,n/a,3.85
9/18,False,n/a,0.69
9/19,True,n/a,2.8
9/20,False,n/a,3.01
9/21,True,n/a,2.49
9/22,False,n/a,2.02
9/24,True,n/a,6.75
9/25,False,n/a,6.32
9/26,False,n/a,3.75
9/27,True,n/a,4.0
9/28,True,n/a,3.6
9/29,False,n/a,8.19
10/1,False,n/a,4.77
10/2,True,n/a,2.25
10/3,True,n/a,3.09
