date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,11.25
4/12,True,n/a,0.0
4/13,True,n/a,1.5
4/14,True,n/a,4.5
4/16,False,n/a,3.29
4/17,False,n/a,5.25
4/18,False,n/a,5.0
4/19,True,n/a,2.77
4/20,True,n/a,13.5
4/22,True,n/a,4.26
4/23,False,n/a,4.73
4/24,True,n/a,4.41
4/25,True,n/a,3.12
4/26,True,n/a,4.24
4/27,False,n/a,1.29
4/28,True,n/a,4.81
4/29,False,n/a,4.24
4/30,True,n/a,3.42
5/1,False,n/a,7.2
5/2,True,n/a,2.53
5/3,True,n/a,5.72
5/4,True,n/a,6.85
5/8,True,n/a,5.4
5/9,True,n/a,2.88
5/10,False,n/a,2.8
5/12,False,n/a,9.79
5/13,False,n/a,3.04
5/14,False,n/a,3.82
5/15,True,n/a,3.71
5/16,False,n/a,4.61
5/18,True,n/a,4.75
5/19,True,n/a,3.5
5/20,True,n/a,3.98
5/21,True,n/a,4.03
5/22,False,n/a,3.51
5/23,False,n/a,2.87
5/25,True,n/a,1.96
5/26,False,n/a,3.08
5/28,True,n/a,5.04
5/29,False,n/a,2.35
5/30,True,n/a,3.23
5/31,True,n/a,3.31
6/1,True,n/a,4.78
6/2,False,n/a,3.7
6/3,True,n/a,5.54
6/4,True,n/a,2.71
6/5,True,n/a,5.11
6/8,True,n/a,6.64
6/9,True,n/a,4.94
6/10,True,n/a,3.6
6/11,True,n/a,4.3
6/12,True,n/a,3.81
6/13,True,n/a,4.82
6/15,True,n/a,5.0
6/16,False,n/a,2.28
6/17,True,n/a,4.34
6/18,True,n/a,1.8
6/19,True,n/a,5.18
6/20,False,n/a,3.57
6/22,True,n/a,3.64
6/23,True,n/a,2.82
6/24,True,n/a,3.13
6/25,False,n/a,3.33
6/26,False,n/a,4.78
6/28,False,n/a,3.11
6/29,False,n/a,6.1
6/30,False,n/a,4.79
7/2,True,n/a,2.81
7/3,True,n/a,2.8
7/4,True,n/a,2.45
7/5,True,n/a,5.4
7/6,True,n/a,5.81
7/7,True,n/a,6.45
7/9,False,n/a,3.32
7/10,False,n/a,6.0
7/11,False,n/a,3.59
7/16,True,n/a,4.75
7/17,True,n/a,3.64
7/19,True,n/a,5.32
8/4,True,n/a,inf
8/5,False,n/a,4.73
8/6,False,n/a,3.02
8/7,False,n/a,6.92
8/8,False,n/a,5.9
8/9,False,n/a,2.82
8/10,False,n/a,2.57
8/11,True,n/a,3.88
8/13,True,n/a,4.04
8/14,True,n/a,1.38
8/16,False,n/a,4.9
8/17,True,n/a,3.14
8/18,True,n/a,4.42
8/19,True,n/a,3.94
8/20,True,n/a,5.23
8/21,False,n/a,2.96
8/22,True,n/a,1.84
8/23,True,n/a,4.62
8/24,True,n/a,5.14
8/25,False,n/a,6.52
8/26,False,n/a,3.5
8/27,True,n/a,3.7
8/28,False,n/a,4.39
8/29,True,n/a,6.32
8/31,True,n/a,2.19
9/1,False,n/a,3.41
9/3,True,n/a,3.81
9/4,False,n/a,4.77
9/5,False,n/a,5.23
9/6,True,n/a,1.47
9/7,True,n/a,4.82
9/8,True,n/a,3.56
9/9,True,n/a,3.79
9/10,True,n/a,5.38
9/11,False,n/a,3.89
9/12,True,n/a,7.42
9/14,False,n/a,4.31
9/15,False,n/a,3.87
9/17,True,n/a,2.94
9/18,True,n/a,4.5
9/19,False,n/a,3.6
9/20,False,n/a,3.9
9/21,True,n/a,4.71
9/22,True,n/a,5.08
9/24,False,n/a,3.44
9/25,True,n/a,3.6
9/26,True,n/a,2.2
9/27,True,n/a,3.03
9/29,False,n/a,4.61
10/1,False,n/a,6.56
10/2,True,n/a,4.4
10/3,True,n/a,5.03
