date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,1.29
4/11,False,n/a,5.4
4/12,True,n/a,0.0
4/13,True,n/a,4.05
4/14,False,n/a,6.24
4/16,True,n/a,1.35
4/17,False,n/a,4.91
4/20,False,n/a,3.86
4/21,False,n/a,5.5
4/22,True,n/a,4.91
4/23,False,n/a,2.37
4/24,False,n/a,4.67
4/25,True,n/a,4.05
4/26,True,n/a,4.3
4/27,False,n/a,3.7
4/28,True,n/a,7.21
4/30,True,n/a,5.4
5/1,True,n/a,1.69
5/2,False,n/a,2.36
5/4,False,n/a,2.78
5/6,False,n/a,3.45
5/7,True,n/a,2.84
5/9,False,n/a,1.96
5/10,False,n/a,6.14
5/11,False,n/a,5.18
5/12,False,n/a,7.24
5/14,False,n/a,2.83
5/15,False,n/a,3.44
5/22,False,n/a,5.47
5/23,True,n/a,2.46
5/24,True,n/a,6.02
5/25,True,n/a,2.91
5/26,True,n/a,4.86
5/28,False,n/a,5.3
5/30,True,n/a,4.93
6/11,False,n/a,3.65
9/13,False,n/a,5.11
9/14,False,n/a,3.9
9/15,False,n/a,4.68
9/17,True,n/a,5.51
9/18,True,n/a,4.25
9/19,True,n/a,3.28
9/20,True,n/a,4.08
9/22,False,n/a,3.25
9/24,False,n/a,3.92
