date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,3.6
4/14,True,n/a,12.72
4/16,True,n/a,3.46
4/20,True,n/a,4.09
4/22,False,n/a,6.88
4/23,True,n/a,2.37
4/25,False,n/a,8.27
5/3,True,n/a,2.19
5/5,False,n/a,4.5
5/25,True,n/a,2.71
5/26,True,n/a,6.8
5/29,True,n/a,3.8
5/30,False,n/a,4.32
5/31,True,n/a,4.95
6/1,True,n/a,4.7
6/2,False,n/a,4.92
6/4,True,n/a,4.58
6/5,True,n/a,7.25
6/8,True,n/a,6.08
6/10,False,n/a,3.21
6/11,True,n/a,3.8
6/12,True,n/a,3.0
6/13,False,n/a,2.27
6/14,False,n/a,5.31
6/15,True,n/a,5.06
7/20,True,n/a,3.65
7/22,True,n/a,2.65
7/24,True,n/a,5.48
7/25,False,n/a,2.09
7/26,True,n/a,2.81
7/27,False,n/a,4.36
7/28,False,n/a,6.67
7/30,True,n/a,2.31
7/31,False,n/a,5.68
8/1,False,n/a,2.1
8/3,False,n/a,4.23
8/4,True,n/a,5.47
8/5,False,n/a,5.47
8/6,True,n/a,3.74
8/7,True,n/a,4.84
8/8,True,n/a,5.91
8/9,True,n/a,6.06
8/10,False,n/a,5.15
8/11,True,n/a,4.15
8/13,False,n/a,7.16
8/15,False,n/a,3.53
8/17,False,n/a,2.49
8/18,True,n/a,4.54
8/19,True,n/a,6.52
9/27,True,n/a,2.73
9/29,True,n/a,3.71
10/1,True,n/a,3.81
10/2,True,n/a,3.35
