date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/9,False,n/a,inf
4/11,True,n/a,inf
4/18,False,n/a,2.25
4/25,True,n/a,11.75
4/27,True,n/a,2.59
5/1,True,n/a,6.11
5/4,False,n/a,6.6
5/5,False,n/a,8.87
5/16,False,n/a,1.61
5/17,True,n/a,4.81
5/19,True,n/a,1.88
5/21,True,n/a,4.68
5/26,True,n/a,3.09
5/27,True,n/a,4.3
5/28,True,n/a,0.68
5/30,True,n/a,3.09
6/12,False,n/a,5.4
6/13,False,n/a,3.2
6/18,True,n/a,inf
6/24,True,n/a,5.08
6/27,True,n/a,2.48
6/28,True,n/a,3.46
6/29,False,n/a,2.72
6/30,False,n/a,3.03
7/5,True,n/a,4.97
8/19,True,n/a,4.99
9/3,False,n/a,4.07
9/5,False,n/a,3.54
9/8,False,n/a,7.2
9/10,False,n/a,2.91
9/11,True,n/a,3.61
9/14,False,n/a,4.14
9/16,False,n/a,3.29
9/21,True,n/a,3.7
9/25,False,n/a,1.65
9/26,False,n/a,4.46
9/28,False,n/a,4.71
9/29,True,n/a,3.27
10/2,True,n/a,4.4
10/3,True,n/a,5.03
