date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/9,False,n/a,inf
4/12,True,n/a,2.7
4/13,False,n/a,1.29
4/14,True,n/a,9.0
4/15,False,n/a,0.0
4/17,True,n/a,7.45
4/20,True,n/a,2.46
4/21,False,n/a,4.09
4/22,False,n/a,4.5
4/23,True,n/a,4.5
4/24,True,n/a,1.42
4/25,True,n/a,3.93
4/27,False,n/a,1.37
4/29,False,n/a,5.4
5/1,True,n/a,9.01
5/2,True,n/a,2.0
5/3,True,n/a,10.13
5/4,False,n/a,6.11
5/5,True,n/a,3.48
5/6,False,n/a,4.77
5/7,True,n/a,3.12
5/8,True,n/a,2.61
5/9,True,n/a,3.0
5/11,True,n/a,3.93
5/15,False,n/a,5.65
5/16,True,n/a,5.18
5/18,True,n/a,6.08
5/19,False,n/a,4.96
5/20,False,n/a,4.25
5/24,True,n/a,5.65
5/25,True,n/a,3.88
5/27,False,n/a,2.54
5/28,False,n/a,2.41
6/2,False,n/a,5.84
6/3,True,n/a,3.41
6/4,False,n/a,5.87
6/5,False,n/a,3.78
6/11,True,n/a,4.86
6/13,False,n/a,3.28
6/19,True,n/a,4.19
6/24,False,n/a,4.77
6/28,False,n/a,4.77
7/3,False,n/a,2.15
7/5,False,n/a,5.67
7/6,True,n/a,2.79
7/7,True,n/a,4.59
7/8,False,n/a,3.95
7/9,True,n/a,3.52
7/10,False,n/a,5.44
7/11,True,n/a,5.24
7/16,False,n/a,3.86
7/19,True,n/a,1.0
7/20,False,n/a,3.5
7/21,False,n/a,2.9
7/25,True,n/a,3.74
7/27,True,n/a,6.27
7/28,True,n/a,2.94
7/30,False,n/a,2.35
7/31,True,n/a,3.77
8/1,False,n/a,3.64
8/3,False,n/a,5.05
8/9,True,n/a,5.27
8/15,True,n/a,4.49
8/18,True,n/a,3.26
8/21,False,n/a,3.0
8/25,False,n/a,4.97
8/28,True,n/a,3.02
8/29,True,n/a,2.16
9/1,True,n/a,inf
9/4,True,n/a,2.21
9/6,True,n/a,3.45
9/8,False,n/a,5.25
9/17,False,n/a,3.6
9/20,True,n/a,3.47
9/30,True,n/a,2.96
