date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/12,False,n/a,6.0
4/14,True,n/a,3.86
4/15,False,n/a,6.0
4/16,True,n/a,5.14
4/17,False,n/a,2.25
4/18,True,n/a,5.25
4/20,True,n/a,17.49
4/21,True,n/a,1.13
4/22,True,n/a,7.5
4/23,True,n/a,10.38
4/24,False,n/a,4.32
4/25,False,n/a,0.86
4/26,False,n/a,7.31
4/27,True,n/a,3.6
4/28,False,n/a,1.42
4/30,False,n/a,3.81
5/1,False,n/a,3.65
5/2,False,n/a,5.61
5/4,True,n/a,0.87
5/5,True,n/a,2.25
5/6,False,n/a,4.36
5/7,False,n/a,5.7
5/8,True,n/a,5.41
5/10,True,n/a,8.14
5/14,False,n/a,3.48
5/15,True,n/a,4.3
5/16,False,n/a,4.23
5/17,False,n/a,3.14
5/18,True,n/a,3.88
5/19,True,n/a,6.02
5/20,False,n/a,3.09
5/21,True,n/a,3.0
5/22,True,n/a,9.68
5/25,False,n/a,3.28
5/26,False,n/a,4.56
5/27,True,n/a,4.5
5/28,True,n/a,4.47
5/29,True,n/a,5.4
5/31,True,n/a,5.63
6/1,False,n/a,3.82
6/2,False,n/a,5.04
6/8,True,n/a,5.33
6/9,False,n/a,3.47
6/10,True,n/a,0.0
6/11,False,n/a,3.1
6/15,True,n/a,2.23
6/16,True,n/a,4.91
6/18,True,n/a,5.4
6/19,True,n/a,3.94
6/20,True,n/a,6.02
6/22,True,n/a,3.18
6/23,True,n/a,4.72
6/24,True,n/a,5.21
6/25,True,n/a,inf
6/26,True,n/a,5.67
6/28,True,n/a,1.78
6/29,False,n/a,5.43
6/30,True,n/a,3.04
7/2,True,n/a,1.83
7/3,False,n/a,3.18
7/5,True,n/a,2.42
7/6,True,n/a,4.07
7/7,True,n/a,4.13
7/10,True,n/a,3.39
7/11,False,n/a,3.15
7/15,True,n/a,4.14
7/16,False,n/a,4.57
7/21,True,n/a,3.45
7/22,True,n/a,3.53
7/23,False,n/a,2.12
7/24,True,n/a,3.62
7/27,True,n/a,4.51
7/28,True,n/a,3.12
7/29,False,n/a,3.77
7/30,True,n/a,3.18
7/31,False,n/a,4.21
8/2,True,n/a,3.11
8/3,False,n/a,2.32
8/4,True,n/a,4.11
8/5,False,n/a,3.1
8/6,True,n/a,3.38
8/7,True,n/a,2.98
8/9,True,n/a,5.65
8/10,True,n/a,5.25
