date,hitVal,otherInfo
4/5,True,n/a
4/7,False,n/a
4/8,True,n/a
4/9,False,n/a
4/11,True,n/a
4/12,False,n/a
4/14,True,n/a
4/16,True,n/a
4/18,True,n/a
4/19,False,n/a
4/21,False,n/a
4/22,True,n/a
4/23,True,n/a
4/25,False,n/a
4/26,False,n/a
4/28,True,n/a
4/30,True,n/a
5/1,True,n/a
5/2,False,n/a
5/5,True,n/a
5/6,True,n/a
5/8,True,n/a
5/9,True,n/a
5/10,True,n/a
5/12,True,n/a
5/13,True,n/a
5/15,False,n/a
5/17,True,n/a
5/18,True,n/a
5/19,False,n/a
5/20,True,n/a
5/22,True,n/a
5/26,True,n/a
5/29,True,n/a
5/30,False,n/a
6/3,False,n/a
6/11,True,n/a
6/12,True,n/a
6/17,False,n/a
6/22,True,n/a
6/23,False,n/a
6/26,False,n/a
6/27,True,n/a
7/3,True,n/a
7/7,True,n/a
7/8,True,n/a
7/9,False,n/a
7/17,True,n/a
7/18,True,n/a
7/20,True,n/a
7/22,True,n/a
7/25,True,n/a
7/28,True,n/a
7/29,False,n/a
7/30,True,n/a
7/31,True,n/a
8/2,False,n/a
8/4,True,n/a
8/5,True,n/a
8/7,True,n/a
8/10,True,n/a
8/11,True,n/a
8/12,False,n/a
8/14,True,n/a
8/15,True,n/a
8/18,True,n/a
8/19,False,n/a
8/20,True,n/a
8/21,True,n/a
8/22,True,n/a
8/23,False,n/a
8/24,True,n/a
8/25,True,n/a
8/26,True,n/a
8/28,True,n/a
8/29,False,n/a
8/30,True,n/a
8/31,False,n/a
9/1,True,n/a
9/5,True,n/a
9/6,True,n/a
9/12,False,n/a
9/20,True,n/a
9/21,True,n/a
9/23,True,n/a
9/25,False,n/a
10/2,False,n/a
