date,hitVal,otherInfo,opPitcherEra
4/30,True,n/a,inf
5/1,True,n/a,2.23
5/2,True,n/a,1.67
5/3,True,n/a,4.2
5/4,False,n/a,inf
5/5,True,n/a,10.8
5/6,True,n/a,3.52
5/7,False,n/a,2.27
5/8,True,n/a,9.89
5/9,False,n/a,5.03
5/11,True,n/a,5.4
5/12,True,n/a,3.53
5/13,False,n/a,6.38
5/14,False,n/a,3.12
5/16,True,n/a,6.69
5/17,True,n/a,6.83
5/18,True,n/a,2.47
5/19,True,n/a,4.13
5/20,True,n/a,4.18
5/21,True,n/a,4.65
5/22,True,n/a,4.13
5/23,True,n/a,3.35
5/25,True,n/a,6.75
5/26,False,n/a,5.37
5/28,True,n/a,4.53
5/29,False,n/a,4.17
5/30,True,n/a,4.48
6/1,True,n/a,4.38
6/2,False,n/a,6.02
6/3,False,n/a,5.26
6/4,False,n/a,4.04
6/5,True,n/a,3.62
6/6,True,n/a,3.08
6/7,True,n/a,2.91
6/8,False,n/a,3.26
6/9,True,n/a,4.64
6/10,True,n/a,6.66
6/11,True,n/a,5.84
6/12,True,n/a,3.97
6/15,True,n/a,1.91
6/16,True,n/a,3.36
6/17,True,n/a,5.05
6/18,True,n/a,5.6
6/19,False,n/a,6.33
6/20,True,n/a,4.5
6/22,True,n/a,5.22
6/23,True,n/a,3.77
6/24,True,n/a,4.72
6/25,False,n/a,5.86
6/26,True,n/a,inf
6/27,True,n/a,3.08
6/29,True,n/a,4.21
6/30,True,n/a,5.43
7/1,True,n/a,2.98
7/2,True,n/a,4.66
7/3,False,n/a,3.62
7/4,True,n/a,4.58
7/5,True,n/a,5.56
7/6,True,n/a,4.85
7/8,True,n/a,4.64
7/9,True,n/a,4.56
7/10,True,n/a,8.41
7/11,True,n/a,4.96
7/15,True,n/a,5.22
7/16,True,n/a,4.22
7/17,True,n/a,4.78
7/18,True,n/a,2.78
7/19,True,n/a,4.79
7/20,True,n/a,4.45
7/21,True,n/a,4.74
7/22,True,n/a,3.14
7/23,True,n/a,4.83
7/24,False,n/a,3.63
7/25,True,n/a,6.06
7/27,False,n/a,3.75
9/3,True,n/a,inf
9/4,True,n/a,3.52
9/5,True,n/a,6.04
9/6,True,n/a,3.6
9/7,False,n/a,3.53
9/8,True,n/a,6.63
9/9,False,n/a,inf
9/10,True,n/a,5.01
9/11,True,n/a,5.2
9/12,False,n/a,4.83
9/14,True,n/a,5.03
9/15,True,n/a,3.89
9/17,False,n/a,2.39
9/18,True,n/a,3.62
9/19,True,n/a,3.95
9/20,True,n/a,2.94
9/21,True,n/a,3.93
9/22,False,n/a,3.12
9/23,False,n/a,3.65
9/24,True,n/a,2.46
9/25,True,n/a,3.36
9/27,True,n/a,4.06
9/29,True,n/a,3.91
9/30,False,n/a,6.04
10/1,False,n/a,3.01
10/2,False,n/a,3.83
10/3,True,n/a,2.86
