date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/10,True,n/a,7.73
4/11,True,n/a,4.05
4/14,False,n/a,9.0
4/16,False,n/a,7.2
4/18,False,n/a,3.21
4/22,True,n/a,4.5
4/28,False,n/a,4.59
4/29,False,n/a,5.4
5/1,True,n/a,9.01
5/2,True,n/a,2.0
5/3,False,n/a,10.13
5/6,False,n/a,4.77
5/7,True,n/a,3.12
5/12,False,n/a,3.43
5/14,True,n/a,8.24
5/15,True,n/a,5.65
5/16,True,n/a,5.18
5/20,True,n/a,4.25
5/21,True,n/a,3.59
5/22,False,n/a,4.29
5/23,False,n/a,2.68
5/24,True,n/a,5.65
5/25,True,n/a,3.88
5/26,True,n/a,4.56
5/27,False,n/a,2.54
5/29,False,n/a,4.01
5/30,True,n/a,2.99
6/1,False,n/a,5.15
6/4,False,n/a,5.87
6/6,True,n/a,4.36
6/8,True,n/a,2.57
6/9,True,n/a,5.26
6/10,False,n/a,6.67
6/15,True,n/a,7.5
6/19,False,n/a,4.19
6/22,True,n/a,3.38
6/23,True,n/a,2.34
6/24,True,n/a,4.77
6/25,False,n/a,5.11
6/26,False,n/a,3.01
6/27,True,n/a,3.56
6/29,True,n/a,5.3
6/30,True,n/a,3.72
7/2,True,n/a,3.28
7/3,True,n/a,2.15
7/4,True,n/a,5.48
7/6,True,n/a,2.79
7/8,False,n/a,3.95
7/11,True,n/a,5.24
7/15,True,n/a,4.64
7/17,True,n/a,3.58
7/18,False,n/a,6.41
7/19,False,n/a,1.0
7/20,False,n/a,3.5
7/21,False,n/a,2.9
7/23,True,n/a,3.19
7/24,True,n/a,3.5
7/26,True,n/a,2.75
7/29,False,n/a,2.18
8/3,True,n/a,5.5
8/4,True,n/a,4.28
8/5,True,n/a,4.28
8/6,True,n/a,6.64
8/7,True,n/a,6.05
8/8,True,n/a,4.21
8/10,True,n/a,4.7
8/13,True,n/a,4.97
8/15,False,n/a,4.49
8/17,True,n/a,4.76
8/19,False,n/a,3.27
8/21,False,n/a,3.0
8/22,True,n/a,3.9
8/30,True,n/a,4.45
8/31,False,n/a,5.23
9/5,True,n/a,6.21
9/6,True,n/a,3.45
9/7,False,n/a,3.61
9/11,False,n/a,5.09
9/17,False,n/a,3.6
9/21,True,n/a,2.84
9/26,True,n/a,2.98
9/29,True,n/a,5.77
10/1,True,n/a,3.79
