date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/11,True,n/a,11.25
4/13,True,n/a,1.5
4/14,False,n/a,4.5
4/16,True,n/a,3.29
4/17,False,n/a,5.25
4/20,False,n/a,13.5
4/22,True,n/a,4.26
4/24,False,n/a,4.41
4/26,True,n/a,4.24
4/27,True,n/a,1.29
4/29,True,n/a,4.24
4/30,True,n/a,3.42
5/1,False,n/a,7.2
5/3,False,n/a,5.72
5/4,False,n/a,6.85
5/10,True,n/a,2.8
5/12,True,n/a,9.79
5/13,True,n/a,3.04
5/14,False,n/a,3.82
5/15,False,n/a,3.71
5/18,False,n/a,4.75
5/19,True,n/a,3.5
5/22,True,n/a,3.51
5/23,False,n/a,2.87
5/26,True,n/a,3.08
5/29,False,n/a,2.35
5/30,True,n/a,3.23
6/1,False,n/a,4.78
6/3,False,n/a,5.54
6/4,False,n/a,2.71
6/10,True,n/a,3.6
6/12,True,n/a,3.81
6/15,True,n/a,5.0
6/16,True,n/a,2.28
6/22,True,n/a,3.64
6/24,False,n/a,3.13
6/27,True,n/a,4.17
6/28,True,n/a,3.11
6/30,True,n/a,4.79
7/3,False,n/a,2.8
7/4,False,n/a,2.45
7/7,True,n/a,6.45
7/9,True,n/a,3.32
7/17,False,n/a,3.99
7/18,False,n/a,inf
7/21,True,n/a,3.42
7/22,False,n/a,3.5
7/24,True,n/a,3.37
7/25,False,n/a,3.99
7/26,False,n/a,4.36
7/29,False,n/a,2.9
7/30,True,n/a,2.92
7/31,True,n/a,4.09
8/3,True,n/a,4.15
8/5,False,n/a,4.73
8/7,False,n/a,6.92
8/9,True,n/a,2.82
8/11,False,n/a,3.88
8/13,True,n/a,4.04
8/17,True,n/a,3.14
8/20,True,n/a,5.23
8/22,True,n/a,1.84
8/23,True,n/a,4.62
8/25,True,n/a,6.52
8/26,True,n/a,3.5
9/1,False,n/a,3.41
9/14,False,n/a,4.31
9/19,True,n/a,3.6
9/21,True,n/a,4.71
9/24,True,n/a,3.44
9/26,False,n/a,2.2
9/29,True,n/a,4.5
10/1,False,n/a,3.98
