date,hitVal,otherInfo
4/5,False,n/a
4/7,True,n/a
4/8,True,n/a
4/10,False,n/a
4/11,True,n/a
4/12,True,n/a
4/14,True,n/a
4/15,False,n/a
4/16,True,n/a
4/18,False,n/a
4/21,False,n/a
4/22,True,n/a
4/23,False,n/a
4/24,True,n/a
4/25,False,n/a
4/27,True,n/a
4/30,True,n/a
5/2,False,n/a
5/3,False,n/a
5/5,True,n/a
5/8,False,n/a
5/13,True,n/a
5/14,False,n/a
5/15,True,n/a
5/16,True,n/a
5/18,True,n/a
5/20,False,n/a
5/22,True,n/a
5/24,False,n/a
5/26,True,n/a
5/29,True,n/a
5/31,True,n/a
6/3,False,n/a
6/6,True,n/a
6/27,False,n/a
6/28,True,n/a
6/29,True,n/a
6/30,True,n/a
7/1,True,n/a
7/2,True,n/a
7/3,True,n/a
7/4,False,n/a
7/5,True,n/a
7/9,True,n/a
7/10,True,n/a
7/11,True,n/a
7/16,False,n/a
7/17,True,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/21,True,n/a
7/23,False,n/a
7/24,False,n/a
7/25,False,n/a
7/26,True,n/a
7/27,True,n/a
7/28,False,n/a
7/29,True,n/a
7/30,False,n/a
7/31,False,n/a
8/1,True,n/a
8/2,True,n/a
8/3,True,n/a
8/4,True,n/a
8/5,False,n/a
8/6,True,n/a
8/7,True,n/a
8/8,True,n/a
8/10,False,n/a
8/11,False,n/a
8/12,False,n/a
8/14,False,n/a
8/15,False,n/a
8/17,False,n/a
8/18,True,n/a
8/19,True,n/a
8/20,False,n/a
8/21,False,n/a
8/24,True,n/a
8/25,False,n/a
8/26,True,n/a
8/27,True,n/a
8/28,True,n/a
8/29,False,n/a
9/3,False,n/a
9/4,False,n/a
9/5,False,n/a
9/6,False,n/a
9/7,False,n/a
9/8,True,n/a
9/10,True,n/a
9/11,False,n/a
9/12,False,n/a
9/14,False,n/a
9/15,False,n/a
9/18,True,n/a
9/19,True,n/a
9/20,False,n/a
9/22,True,n/a
9/23,False,n/a
9/25,True,n/a
9/26,True,n/a
9/27,True,n/a
9/29,True,n/a
10/1,True,n/a
10/2,False,n/a
