date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,False,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,3.6
4/11,True,n/a,inf
4/13,True,n/a,5.79
4/14,True,n/a,1.69
4/19,True,n/a,0.64
4/20,True,n/a,4.15
4/21,True,n/a,3.5
4/23,True,n/a,3.86
4/24,True,n/a,2.46
4/25,True,n/a,7.25
4/26,True,n/a,8.05
4/27,False,n/a,0.95
4/28,True,n/a,5.24
4/29,True,n/a,0.0
4/30,True,n/a,2.49
5/1,False,n/a,1.73
5/3,True,n/a,5.4
5/4,True,n/a,2.73
5/5,False,n/a,3.82
5/6,True,n/a,3.64
5/7,False,n/a,3.0
5/8,False,n/a,3.86
5/9,True,n/a,6.0
5/10,False,n/a,5.06
5/11,False,n/a,4.27
5/12,True,n/a,2.7
5/14,False,n/a,5.73
5/15,True,n/a,2.3
5/16,True,n/a,2.64
5/17,True,n/a,4.37
5/18,False,n/a,3.06
5/19,True,n/a,5.25
5/20,True,n/a,1.76
5/21,True,n/a,6.15
5/22,True,n/a,4.99
5/23,False,n/a,2.61
5/25,True,n/a,3.12
5/26,True,n/a,0.99
5/27,False,n/a,7.52
5/28,False,n/a,2.88
5/30,True,n/a,5.36
5/31,True,n/a,3.63
6/1,False,n/a,3.0
6/2,True,n/a,2.2
6/4,True,n/a,4.97
6/5,False,n/a,3.62
6/6,True,n/a,0.78
6/7,False,n/a,4.44
6/8,False,n/a,2.8
6/10,False,n/a,3.71
6/11,True,n/a,1.47
6/12,True,n/a,5.07
6/13,True,n/a,2.54
6/15,True,n/a,2.52
6/16,True,n/a,3.18
6/17,False,n/a,4.54
6/18,True,n/a,2.68
6/19,True,n/a,6.09
6/20,False,n/a,6.14
6/21,True,n/a,4.37
6/22,False,n/a,2.47
6/23,True,n/a,5.02
6/25,True,n/a,2.84
6/26,False,n/a,2.45
6/27,False,n/a,4.9
6/28,True,n/a,2.63
6/29,True,n/a,2.47
6/30,True,n/a,5.4
7/2,False,n/a,3.27
7/4,True,n/a,4.25
7/5,True,n/a,3.14
7/6,True,n/a,2.96
7/7,True,n/a,3.54
7/8,True,n/a,3.35
7/9,True,n/a,4.69
7/16,False,n/a,3.56
7/17,True,n/a,3.33
7/18,False,n/a,5.27
7/19,True,n/a,3.59
7/20,True,n/a,2.63
7/22,False,n/a,3.3
7/23,True,n/a,3.42
7/24,True,n/a,2.41
7/25,False,n/a,3.18
7/27,True,n/a,3.4
7/28,False,n/a,2.28
7/29,True,n/a,4.6
7/30,True,n/a,4.0
7/31,False,n/a,4.47
8/1,True,n/a,3.43
8/2,False,n/a,3.22
8/3,True,n/a,3.67
8/4,True,n/a,5.24
8/5,True,n/a,1.0
8/6,True,n/a,3.6
8/7,True,n/a,3.6
8/8,False,n/a,2.47
8/10,True,n/a,5.68
8/11,True,n/a,4.48
8/12,True,n/a,4.82
8/13,False,n/a,5.44
8/14,True,n/a,15.33
8/15,True,n/a,3.07
8/17,False,n/a,3.94
8/18,True,n/a,4.25
8/19,False,n/a,2.53
8/20,True,n/a,5.01
8/21,False,n/a,2.59
8/22,True,n/a,4.33
8/24,False,n/a,3.69
8/25,True,n/a,3.85
8/26,True,n/a,4.82
8/27,True,n/a,3.72
8/28,True,n/a,3.78
8/29,True,n/a,3.07
9/1,True,n/a,2.29
9/3,True,n/a,2.97
9/4,True,n/a,5.17
9/5,False,n/a,2.96
9/6,False,n/a,3.76
9/7,True,n/a,3.68
9/8,False,n/a,4.18
9/10,True,n/a,4.18
9/11,True,n/a,2.79
9/12,False,n/a,3.65
9/14,True,n/a,3.24
9/15,True,n/a,4.71
9/16,False,n/a,5.15
9/17,False,n/a,5.22
9/18,True,n/a,3.49
9/19,True,n/a,5.78
9/21,False,n/a,4.25
9/22,True,n/a,2.84
9/23,True,n/a,4.61
9/24,False,n/a,2.98
9/25,True,n/a,5.0
9/28,True,n/a,3.16
9/29,False,n/a,3.51
9/30,True,n/a,3.06
10/1,True,n/a,5.1
10/2,True,n/a,3.61
