date,hitVal,otherInfo
4/5,False,n/a
4/7,False,n/a
4/8,True,n/a
4/9,True,n/a
4/10,True,n/a
4/12,True,n/a
4/13,True,n/a
4/14,False,n/a
4/16,False,n/a
4/24,True,n/a
4/25,True,n/a
4/26,True,n/a
4/27,True,n/a
4/28,True,n/a
4/29,False,n/a
4/30,False,n/a
5/1,False,n/a
5/2,True,n/a
5/4,True,n/a
5/5,True,n/a
5/6,False,n/a
5/7,True,n/a
5/8,False,n/a
5/9,True,n/a
5/10,True,n/a
5/11,False,n/a
5/12,False,n/a
5/14,True,n/a
5/15,False,n/a
5/16,False,n/a
5/17,False,n/a
5/18,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,False,n/a
5/27,True,n/a
5/29,False,n/a
5/31,False,n/a
6/1,True,n/a
6/4,True,n/a
6/5,False,n/a
6/6,False,n/a
6/8,True,n/a
6/9,False,n/a
6/10,True,n/a
6/12,True,n/a
6/13,False,n/a
6/15,False,n/a
6/27,True,n/a
6/29,True,n/a
6/30,False,n/a
7/1,True,n/a
7/2,True,n/a
8/2,False,n/a
8/10,True,n/a
8/27,False,n/a
9/26,True,n/a
