date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/10,False,n/a,3.86
4/11,True,n/a,5.41
4/14,True,n/a,6.0
4/15,False,n/a,10.15
4/16,True,n/a,6.36
4/17,True,n/a,4.91
4/19,True,n/a,4.09
4/24,True,n/a,1.86
5/17,False,n/a,5.84
5/18,True,n/a,6.51
5/19,False,n/a,3.83
5/20,True,n/a,4.36
5/21,True,n/a,3.71
5/22,True,n/a,6.51
5/25,True,n/a,2.38
5/26,True,n/a,4.57
5/28,True,n/a,4.0
5/29,False,n/a,3.52
5/31,True,n/a,4.3
6/1,True,n/a,3.25
6/4,False,n/a,4.46
6/5,True,n/a,5.82
6/6,False,n/a,4.07
6/7,True,n/a,1.87
6/8,True,n/a,3.64
6/9,False,n/a,3.06
6/11,False,n/a,4.27
6/13,True,n/a,5.38
6/14,False,n/a,6.36
6/16,False,n/a,3.05
6/20,True,n/a,3.23
6/22,True,n/a,3.58
6/23,True,n/a,3.08
6/24,True,n/a,4.97
6/25,False,n/a,3.94
6/27,True,n/a,3.97
6/28,True,n/a,4.65
6/29,True,n/a,4.67
6/30,False,n/a,inf
7/1,False,n/a,4.92
7/2,True,n/a,5.17
7/3,True,n/a,4.12
7/4,True,n/a,2.56
7/6,True,n/a,4.67
7/7,True,n/a,4.66
7/8,False,n/a,2.27
7/9,True,n/a,5.98
7/10,False,n/a,3.57
7/11,True,n/a,5.0
7/15,True,n/a,2.97
7/16,True,n/a,4.14
7/17,True,n/a,3.87
7/18,False,n/a,4.04
7/19,True,n/a,4.44
7/20,True,n/a,4.88
7/21,True,n/a,6.21
7/23,False,n/a,4.33
7/25,True,n/a,3.7
7/27,True,n/a,3.54
7/28,True,n/a,2.79
7/29,False,n/a,2.55
7/30,False,n/a,4.72
7/31,True,n/a,8.58
8/1,False,n/a,5.09
8/2,True,n/a,3.1
8/4,True,n/a,0.0
8/6,False,n/a,4.28
8/7,False,n/a,1.96
8/9,True,n/a,3.43
8/10,True,n/a,3.24
8/11,False,n/a,3.83
8/13,False,n/a,8.0
8/14,False,n/a,5.46
8/17,True,n/a,4.78
8/18,False,n/a,4.86
8/20,True,n/a,3.27
8/22,True,n/a,3.56
8/23,False,n/a,3.91
8/24,False,n/a,4.92
8/25,True,n/a,6.65
8/26,False,n/a,inf
8/27,False,n/a,5.22
8/28,True,n/a,3.36
9/7,False,n/a,5.34
9/11,True,n/a,3.58
9/14,False,n/a,4.61
9/15,True,n/a,3.88
9/28,False,n/a,3.18
10/2,True,n/a,3.17
