date,hitVal,otherInfo,opPitcherEra
4/10,True,n/a,1.5
4/15,True,n/a,4.5
4/17,True,n/a,3.97
4/21,True,n/a,1.38
4/22,False,n/a,2.08
4/24,False,n/a,4.34
4/26,True,n/a,1.93
5/2,False,n/a,3.38
5/3,True,n/a,5.74
5/6,False,n/a,5.57
5/8,True,n/a,2.74
5/11,False,n/a,3.82
5/16,False,n/a,inf
5/20,False,n/a,2.63
5/29,True,n/a,3.57
6/3,False,n/a,1.88
6/11,True,n/a,3.98
6/13,False,n/a,3.98
8/3,True,n/a,6.04
8/5,True,n/a,1.46
8/6,True,n/a,4.61
8/7,True,n/a,3.19
8/9,False,n/a,3.96
8/10,True,n/a,3.37
8/11,True,n/a,3.44
8/13,True,n/a,3.01
8/14,True,n/a,3.37
8/15,False,n/a,3.3
8/17,True,n/a,2.85
8/18,False,n/a,6.36
8/19,True,n/a,3.99
8/20,False,n/a,3.96
8/21,False,n/a,3.43
8/22,True,n/a,3.69
8/23,True,n/a,3.92
8/25,False,n/a,3.7
8/27,True,n/a,2.97
8/28,False,n/a,3.62
8/29,True,n/a,4.76
8/31,True,n/a,4.79
9/1,True,n/a,5.1
9/2,True,n/a,5.55
9/4,True,n/a,3.65
9/5,False,n/a,3.95
9/7,False,n/a,2.92
9/11,False,n/a,2.98
9/12,False,n/a,3.47
9/17,True,n/a,4.12
9/19,True,n/a,3.58
9/20,False,n/a,4.68
9/22,False,n/a,5.14
9/24,True,n/a,2.81
9/27,True,n/a,4.27
9/29,True,n/a,4.74
9/30,True,n/a,3.74
10/2,True,n/a,3.17
