date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,3.86
4/11,False,n/a,5.41
4/12,True,n/a,4.5
4/14,True,n/a,6.0
4/15,True,n/a,10.15
4/16,False,n/a,6.36
4/17,True,n/a,4.91
4/18,True,n/a,13.5
4/19,True,n/a,4.09
4/20,True,n/a,3.6
4/21,True,n/a,3.5
4/23,False,n/a,0.9
4/24,False,n/a,1.86
4/25,True,n/a,3.86
4/26,True,n/a,2.89
4/27,True,n/a,5.24
4/28,True,n/a,4.76
4/29,True,n/a,5.48
5/1,True,n/a,7.06
5/2,True,n/a,7.16
5/3,False,n/a,inf
5/4,False,n/a,5.28
5/5,False,n/a,7.61
5/7,True,n/a,6.09
5/8,True,n/a,6.17
5/9,True,n/a,4.06
5/11,True,n/a,3.6
5/12,True,n/a,4.59
5/13,True,n/a,7.52
5/14,True,n/a,6.03
5/15,True,n/a,3.1
5/17,True,n/a,5.84
5/18,True,n/a,6.51
5/19,False,n/a,3.83
5/20,True,n/a,4.36
5/21,True,n/a,3.71
5/22,False,n/a,6.51
5/23,False,n/a,3.4
5/25,False,n/a,2.38
5/27,True,n/a,3.32
5/28,True,n/a,4.0
5/29,False,n/a,3.52
5/30,True,n/a,3.31
5/31,True,n/a,4.3
6/2,True,n/a,3.0
6/4,True,n/a,4.46
6/5,False,n/a,5.82
6/6,True,n/a,4.07
6/7,True,n/a,1.87
6/8,True,n/a,3.64
6/9,True,n/a,3.06
6/11,False,n/a,4.27
6/12,True,n/a,4.83
6/14,True,n/a,6.36
6/15,False,n/a,6.62
6/16,True,n/a,3.05
6/18,True,n/a,4.81
6/19,False,n/a,4.93
6/20,False,n/a,3.23
6/22,True,n/a,3.58
6/25,False,n/a,3.94
7/24,True,n/a,3.13
7/25,True,n/a,3.7
7/27,True,n/a,3.54
7/29,True,n/a,2.55
8/2,True,n/a,3.53
8/3,False,n/a,4.22
8/4,True,n/a,3.47
8/5,False,n/a,3.78
8/6,False,n/a,1.13
8/7,True,n/a,4.64
8/8,False,n/a,1.69
8/10,True,n/a,4.47
8/11,True,n/a,0.0
8/12,True,n/a,5.32
8/13,True,n/a,3.55
8/14,True,n/a,3.36
8/15,True,n/a,3.41
8/16,True,n/a,3.65
8/17,False,n/a,4.6
8/19,True,n/a,5.28
8/20,False,n/a,2.97
8/21,True,n/a,5.61
8/22,True,n/a,5.37
8/24,True,n/a,4.94
8/25,False,n/a,4.24
8/26,False,n/a,4.41
8/27,True,n/a,2.52
8/28,False,n/a,5.32
8/29,True,n/a,3.47
8/30,False,n/a,5.21
8/31,True,n/a,4.22
9/1,True,n/a,2.44
9/3,False,n/a,5.34
9/4,True,n/a,4.32
9/5,False,n/a,4.26
9/6,True,n/a,3.96
9/7,False,n/a,3.01
9/9,True,n/a,3.19
9/10,False,n/a,3.39
9/11,False,n/a,3.44
9/12,False,n/a,3.69
9/13,True,n/a,4.57
9/14,True,n/a,4.34
9/15,False,n/a,4.1
9/16,True,n/a,3.78
9/17,True,n/a,6.85
9/18,True,n/a,5.01
9/19,False,n/a,2.5
9/21,True,n/a,3.55
9/22,False,n/a,4.13
9/23,False,n/a,3.36
9/24,False,n/a,3.98
9/25,True,n/a,3.34
9/26,False,n/a,4.73
9/27,True,n/a,3.56
9/28,False,n/a,3.87
9/29,True,n/a,4.28
9/30,False,n/a,4.28
10/1,True,n/a,2.95
10/2,False,n/a,4.08
10/3,False,n/a,3.15
