date,hitVal,otherInfo,opPitcherEra
4/8,False,n/a,inf
4/10,True,n/a,inf
4/11,False,n/a,3.86
4/12,False,n/a,1.13
4/17,True,n/a,3.46
4/19,False,n/a,1.5
4/20,False,n/a,5.56
5/2,True,n/a,7.22
5/5,True,n/a,2.12
5/8,True,n/a,1.5
5/11,False,n/a,2.4
5/16,False,n/a,5.06
5/18,True,n/a,2.73
5/23,True,n/a,6.02
5/25,False,n/a,3.45
5/27,True,n/a,3.46
5/29,True,n/a,4.11
5/30,True,n/a,3.43
6/1,False,n/a,6.86
6/3,False,n/a,4.16
6/5,True,n/a,2.97
6/6,False,n/a,4.95
6/8,True,n/a,2.55
6/9,False,n/a,4.14
6/12,True,n/a,3.8
6/13,True,n/a,2.23
6/16,True,n/a,3.12
6/18,True,n/a,3.05
6/19,True,n/a,2.71
6/24,True,n/a,4.44
6/25,False,n/a,3.55
6/26,True,n/a,2.82
6/27,True,n/a,4.52
6/29,False,n/a,4.71
7/2,True,n/a,5.21
7/3,False,n/a,2.86
7/5,True,n/a,3.0
7/6,True,n/a,4.5
7/7,False,n/a,4.88
7/8,True,n/a,1.98
7/10,False,n/a,1.13
7/11,True,n/a,3.24
7/16,True,n/a,3.71
7/17,False,n/a,4.86
7/21,True,n/a,4.86
7/25,False,n/a,4.94
7/27,True,n/a,3.52
7/31,True,n/a,4.01
8/1,True,n/a,4.83
8/6,False,n/a,3.4
8/15,True,n/a,1.29
8/20,True,n/a,3.2
8/21,True,n/a,2.99
8/27,False,n/a,5.49
8/28,True,n/a,6.34
8/29,False,n/a,3.19
9/1,True,n/a,3.12
9/4,False,n/a,4.73
9/25,False,n/a,3.75
9/28,True,n/a,2.84
10/1,True,n/a,5.01
