date,hitVal,otherInfo,opPitcherEra
4/11,False,n/a,inf
4/14,False,n/a,3.6
4/19,True,n/a,12.0
4/20,False,n/a,1.35
4/25,True,n/a,2.45
4/26,True,n/a,2.15
4/27,True,n/a,5.14
4/28,True,n/a,4.63
4/29,True,n/a,2.17
4/30,True,n/a,3.27
5/2,False,n/a,3.68
5/3,True,n/a,7.85
5/4,True,n/a,6.49
5/6,True,n/a,4.97
5/7,False,n/a,1.65
5/8,True,n/a,3.52
5/9,True,n/a,5.46
5/11,False,n/a,5.75
5/12,True,n/a,3.86
5/13,True,n/a,4.6
5/14,True,n/a,4.96
5/15,False,n/a,5.57
5/16,True,n/a,6.92
5/17,False,n/a,5.77
5/18,True,n/a,3.69
5/19,True,n/a,5.92
5/20,False,n/a,3.23
5/21,True,n/a,7.72
5/23,True,n/a,5.13
5/25,True,n/a,4.74
5/26,True,n/a,5.9
5/27,False,n/a,5.77
5/28,True,n/a,4.44
5/29,False,n/a,3.07
5/30,True,n/a,3.15
5/31,False,n/a,3.65
6/1,False,n/a,4.95
6/3,False,n/a,3.02
6/4,True,n/a,6.42
6/5,False,n/a,3.75
6/6,True,n/a,3.72
6/8,True,n/a,3.84
6/9,True,n/a,4.11
6/10,True,n/a,4.52
6/15,True,n/a,3.82
6/16,False,n/a,3.16
6/20,True,n/a,4.42
6/25,False,n/a,5.41
6/26,True,n/a,5.63
6/30,True,n/a,4.71
7/4,True,n/a,4.23
7/5,True,n/a,3.03
7/7,True,n/a,3.22
7/9,True,n/a,4.53
7/10,False,n/a,4.43
7/11,True,n/a,inf
7/17,True,n/a,2.94
7/18,True,n/a,3.81
7/20,True,n/a,6.54
7/21,False,n/a,5.41
7/30,True,n/a,5.4
7/31,True,n/a,6.96
8/1,True,n/a,5.96
8/2,True,n/a,2.93
8/3,True,n/a,4.04
8/4,True,n/a,3.25
8/7,True,n/a,3.38
8/8,False,n/a,3.19
8/9,True,n/a,4.11
8/10,False,n/a,3.6
8/11,True,n/a,2.94
8/12,False,n/a,3.15
8/13,False,n/a,3.86
8/14,False,n/a,3.92
8/15,False,n/a,4.92
8/17,True,n/a,1.54
8/18,True,n/a,3.87
8/19,False,n/a,4.25
8/21,True,n/a,5.58
8/23,True,n/a,5.37
8/24,False,n/a,5.76
8/25,True,n/a,4.21
8/27,False,n/a,3.86
8/28,True,n/a,3.06
8/29,True,n/a,4.2
9/1,True,n/a,3.67
9/3,False,n/a,5.27
9/4,True,n/a,5.2
9/5,False,n/a,3.99
9/6,True,n/a,4.39
9/11,True,n/a,2.05
9/12,True,n/a,0.84
9/14,False,n/a,3.16
9/15,True,n/a,2.61
9/17,False,n/a,2.18
9/19,True,n/a,4.17
9/20,True,n/a,5.1
9/22,False,n/a,3.54
9/23,True,n/a,4.58
9/24,False,n/a,4.73
9/25,True,n/a,4.96
10/2,True,n/a,4.58
10/3,True,n/a,4.14
