date,hitVal,otherInfo
4/5,True,n/a
4/6,False,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/10,True,n/a
4/11,False,n/a
4/13,False,n/a
4/14,False,n/a
4/15,True,n/a
4/16,True,n/a
4/17,True,n/a
4/18,True,n/a
4/19,False,n/a
4/20,True,n/a
4/21,False,n/a
4/22,True,n/a
4/23,True,n/a
4/24,True,n/a
4/25,False,n/a
4/26,True,n/a
4/27,False,n/a
4/28,False,n/a
4/30,True,n/a
5/1,True,n/a
5/2,False,n/a
5/3,True,n/a
5/4,False,n/a
5/5,False,n/a
5/6,False,n/a
5/7,False,n/a
5/8,True,n/a
5/10,False,n/a
5/11,False,n/a
5/14,True,n/a
5/15,True,n/a
5/16,True,n/a
5/17,False,n/a
5/18,False,n/a
5/19,False,n/a
5/20,True,n/a
5/22,True,n/a
5/24,True,n/a
5/25,True,n/a
5/26,True,n/a
5/28,False,n/a
5/29,True,n/a
5/30,True,n/a
5/31,False,n/a
6/1,True,n/a
6/2,True,n/a
6/3,True,n/a
6/4,True,n/a
6/5,False,n/a
6/6,True,n/a
6/7,True,n/a
6/8,False,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/13,True,n/a
6/14,False,n/a
6/15,True,n/a
6/16,False,n/a
6/18,True,n/a
6/20,True,n/a
6/22,False,n/a
6/23,False,n/a
6/24,True,n/a
6/26,True,n/a
6/27,True,n/a
6/29,True,n/a
6/30,False,n/a
7/1,False,n/a
7/2,True,n/a
7/3,False,n/a
7/4,True,n/a
7/5,False,n/a
7/6,False,n/a
7/7,False,n/a
7/9,False,n/a
7/10,False,n/a
7/11,True,n/a
7/15,True,n/a
7/16,True,n/a
7/18,False,n/a
7/20,True,n/a
7/21,True,n/a
7/22,True,n/a
7/24,True,n/a
7/25,True,n/a
7/26,True,n/a
7/27,False,n/a
7/28,False,n/a
7/30,True,n/a
7/31,True,n/a
8/3,False,n/a
8/5,True,n/a
8/6,False,n/a
8/7,False,n/a
8/9,True,n/a
8/10,False,n/a
8/11,True,n/a
8/14,True,n/a
8/17,True,n/a
8/18,True,n/a
8/19,True,n/a
8/21,True,n/a
8/22,True,n/a
8/23,True,n/a
8/24,True,n/a
8/25,True,n/a
8/27,False,n/a
8/28,False,n/a
8/30,True,n/a
8/31,False,n/a
9/1,True,n/a
9/4,False,n/a
9/5,True,n/a
9/6,True,n/a
9/7,True,n/a
9/10,True,n/a
9/11,True,n/a
9/12,True,n/a
9/14,True,n/a
9/15,True,n/a
9/16,True,n/a
9/17,False,n/a
9/19,True,n/a
9/21,True,n/a
9/24,False,n/a
9/26,False,n/a
9/28,True,n/a
9/30,True,n/a
10/1,True,n/a
