date,hitVal,otherInfo,opPitcherEra
4/15,False,n/a,0.0
4/17,True,n/a,4.05
4/18,False,n/a,12.28
4/20,True,n/a,2.77
4/23,False,n/a,7.2
4/24,False,n/a,3.18
4/25,False,n/a,7.08
4/27,False,n/a,2.4
5/27,False,n/a,2.8
5/28,False,n/a,2.73
7/10,False,n/a,3.15
8/6,False,n/a,2.94
8/8,True,n/a,3.06
8/13,False,n/a,3.27
8/17,False,n/a,4.5
8/27,True,n/a,2.42
9/3,True,n/a,5.17
9/4,False,n/a,5.18
9/15,True,n/a,5.63
9/17,True,n/a,2.07
9/18,False,n/a,4.85
9/21,True,n/a,3.34
9/22,False,n/a,3.65
9/23,False,n/a,3.54
10/1,True,n/a,4.66
10/2,False,n/a,5.34
