date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,14.55
4/11,False,n/a,inf
4/12,True,n/a,3.0
4/13,True,n/a,1.13
4/14,True,n/a,5.4
4/15,True,n/a,4.5
4/16,True,n/a,0.56
4/17,True,n/a,7.5
4/18,True,n/a,5.07
4/20,True,n/a,3.46
4/21,True,n/a,3.52
4/22,False,n/a,7.36
4/24,True,n/a,4.67
4/26,False,n/a,3.57
4/27,True,n/a,2.86
4/28,True,n/a,3.13
4/30,False,n/a,6.14
5/1,True,n/a,6.75
5/2,True,n/a,5.53
5/4,True,n/a,1.27
5/5,False,n/a,1.53
5/8,False,n/a,inf
5/11,False,n/a,4.86
5/14,True,n/a,4.5
5/15,True,n/a,5.45
5/16,True,n/a,4.58
5/17,False,n/a,7.44
5/18,True,n/a,inf
5/19,True,n/a,1.42
5/20,False,n/a,2.48
5/21,False,n/a,5.26
5/22,True,n/a,7.0
5/25,True,n/a,4.99
5/26,False,n/a,4.18
5/27,False,n/a,2.09
5/28,False,n/a,5.66
5/29,False,n/a,2.22
5/31,True,n/a,5.53
6/1,True,n/a,5.05
6/2,False,n/a,2.78
6/4,True,n/a,2.84
6/5,False,n/a,4.79
6/6,True,n/a,3.22
8/24,True,n/a,2.41
8/25,True,n/a,3.0
8/26,True,n/a,3.33
8/27,True,n/a,3.53
8/28,True,n/a,2.28
8/30,True,n/a,8.79
8/31,False,n/a,11.25
9/1,True,n/a,4.91
9/3,False,n/a,4.75
9/4,True,n/a,4.38
9/5,True,n/a,3.91
9/6,False,n/a,2.01
9/7,True,n/a,5.25
9/8,True,n/a,3.18
9/10,False,n/a,4.73
9/11,True,n/a,7.14
9/12,True,n/a,3.86
9/17,True,n/a,3.63
9/18,True,n/a,5.11
9/19,False,n/a,7.01
9/20,False,n/a,3.21
9/22,True,n/a,3.76
9/23,True,n/a,3.55
9/24,True,n/a,0.0
9/25,True,n/a,5.25
9/26,False,n/a,4.0
9/28,True,n/a,2.8
