date,hitVal,otherInfo,opPitcherEra
4/21,True,n/a,1.38
4/22,False,n/a,2.08
4/24,True,n/a,4.34
4/26,True,n/a,1.93
4/27,False,n/a,4.0
4/28,True,n/a,5.41
4/30,False,n/a,4.84
5/1,False,n/a,12.21
5/2,True,n/a,3.38
5/3,True,n/a,5.74
5/4,False,n/a,4.59
5/6,True,n/a,5.57
5/7,True,n/a,1.44
5/8,True,n/a,2.74
5/9,False,n/a,1.99
5/10,False,n/a,5.4
5/11,True,n/a,3.82
5/14,True,n/a,6.81
5/15,False,n/a,3.99
5/17,True,n/a,1.38
5/18,True,n/a,3.71
5/19,True,n/a,4.93
5/20,True,n/a,2.63
5/21,True,n/a,4.29
5/26,True,n/a,2.37
5/30,False,n/a,2.91
6/1,True,n/a,3.54
6/2,True,n/a,4.91
6/3,True,n/a,1.88
6/6,True,n/a,5.28
6/8,True,n/a,6.08
6/11,True,n/a,3.98
6/12,True,n/a,6.07
6/13,False,n/a,3.98
6/17,False,n/a,4.61
6/19,False,n/a,6.65
6/20,False,n/a,3.1
6/23,True,n/a,1.15
6/25,True,n/a,2.91
6/26,True,n/a,inf
6/27,True,n/a,2.86
6/30,False,n/a,4.1
7/2,True,n/a,6.83
7/4,False,n/a,4.9
7/7,True,n/a,2.42
7/9,True,n/a,3.4
7/11,True,n/a,7.3
7/17,True,n/a,2.88
7/18,False,n/a,3.35
7/19,False,n/a,4.63
7/20,True,n/a,3.83
7/21,False,n/a,3.63
7/22,False,n/a,6.19
7/27,True,n/a,3.2
7/28,False,n/a,5.62
7/31,True,n/a,4.45
8/3,False,n/a,6.04
8/7,False,n/a,3.19
8/12,True,n/a,4.09
8/15,True,n/a,3.3
8/17,True,n/a,2.85
8/18,True,n/a,6.36
8/20,True,n/a,3.96
8/21,False,n/a,3.43
8/27,True,n/a,2.97
8/29,False,n/a,4.76
8/31,True,n/a,4.79
9/4,False,n/a,3.65
9/5,True,n/a,3.95
9/7,True,n/a,2.92
9/11,True,n/a,2.98
9/12,False,n/a,3.47
9/14,False,n/a,3.9
9/17,True,n/a,4.12
9/18,True,n/a,3.72
9/20,True,n/a,4.68
9/24,True,n/a,2.81
9/27,True,n/a,4.27
9/30,False,n/a,3.74
10/2,True,n/a,3.17
