date,hitVal,otherInfo,opPitcherEra
4/9,False,n/a,inf
4/11,True,n/a,3.6
4/12,False,n/a,5.4
4/14,False,n/a,1.5
4/16,True,n/a,3.0
4/17,True,n/a,7.36
4/18,False,n/a,6.95
4/21,False,n/a,3.57
4/25,True,n/a,3.2
4/28,False,n/a,6.23
5/2,True,n/a,5.0
5/12,False,n/a,6.03
5/23,True,n/a,3.6
6/27,False,n/a,4.43
6/29,False,n/a,3.64
7/3,False,n/a,2.72
7/4,True,n/a,3.58
7/7,True,n/a,4.57
7/20,False,n/a,7.56
7/21,True,n/a,3.67
7/25,True,n/a,4.98
8/4,True,n/a,4.07
8/10,True,n/a,3.96
8/20,True,n/a,2.8
8/21,True,n/a,4.17
8/22,False,n/a,2.36
8/29,True,n/a,5.43
8/30,True,n/a,4.41
8/31,True,n/a,3.67
9/1,False,n/a,3.01
9/3,False,n/a,1.93
9/4,True,n/a,4.86
9/5,False,n/a,4.1
9/18,True,n/a,5.84
9/19,True,n/a,3.17
9/21,False,n/a,4.02
9/26,True,n/a,inf
9/27,False,n/a,5.09
9/29,True,n/a,5.07
10/3,True,n/a,5.55
