date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/9,True,n/a,inf
4/11,True,n/a,inf
4/12,True,n/a,inf
4/13,True,n/a,6.0
4/16,True,n/a,11.43
4/17,True,n/a,3.86
4/18,False,n/a,4.5
4/19,False,n/a,4.38
4/21,False,n/a,3.6
4/23,True,n/a,0.69
4/24,True,n/a,1.5
4/25,True,n/a,1.29
4/27,True,n/a,5.0
4/28,True,n/a,5.11
4/30,True,n/a,5.02
5/1,True,n/a,2.25
5/4,True,n/a,4.32
5/5,True,n/a,5.18
5/6,True,n/a,4.01
5/8,True,n/a,4.5
5/11,True,n/a,1.16
5/12,True,n/a,3.34
5/14,True,n/a,4.67
5/15,True,n/a,2.63
5/16,True,n/a,3.52
5/17,True,n/a,3.22
5/19,False,n/a,3.58
5/20,False,n/a,3.81
5/21,False,n/a,4.37
5/22,False,n/a,4.05
5/25,False,n/a,1.62
5/26,True,n/a,5.06
5/28,False,n/a,6.28
5/30,False,n/a,3.41
5/31,False,n/a,0.88
6/1,False,n/a,6.93
6/2,True,n/a,2.89
6/5,True,n/a,3.9
6/6,False,n/a,4.26
6/8,True,n/a,3.97
6/10,True,n/a,2.22
6/11,True,n/a,3.58
6/12,False,n/a,4.97
6/13,True,n/a,4.91
6/15,True,n/a,4.5
6/16,True,n/a,3.83
6/18,False,n/a,5.14
6/19,True,n/a,27.04
6/22,True,n/a,3.12
6/23,True,n/a,3.34
6/24,False,n/a,6.09
6/27,True,n/a,3.03
6/28,False,n/a,4.34
6/29,True,n/a,3.86
7/2,True,n/a,4.66
7/3,True,n/a,3.62
7/4,False,n/a,4.58
7/5,True,n/a,5.56
7/8,False,n/a,4.64
7/9,True,n/a,4.56
7/11,False,n/a,4.96
7/15,True,n/a,5.22
7/16,True,n/a,4.22
7/17,False,n/a,4.78
7/20,False,n/a,4.45
7/21,False,n/a,4.74
7/22,True,n/a,3.14
7/24,True,n/a,3.63
7/25,False,n/a,6.06
7/27,False,n/a,3.75
7/28,False,n/a,3.15
7/30,True,n/a,3.55
7/31,False,n/a,3.86
8/3,True,n/a,3.2
8/4,True,n/a,3.57
8/5,False,n/a,2.79
8/8,True,n/a,2.72
8/10,True,n/a,4.99
8/11,False,n/a,4.63
8/13,True,n/a,6.21
8/16,True,n/a,2.84
8/17,False,n/a,3.92
8/19,True,n/a,5.28
8/21,False,n/a,5.8
8/24,True,n/a,3.52
8/25,False,n/a,1.92
8/26,True,n/a,3.45
8/29,True,n/a,3.24
8/30,True,n/a,5.41
9/1,False,n/a,6.0
9/3,False,n/a,inf
9/4,False,n/a,3.52
9/8,True,n/a,6.63
9/9,True,n/a,inf
9/10,False,n/a,5.01
9/15,False,n/a,3.89
9/17,False,n/a,2.39
9/18,True,n/a,3.62
9/21,False,n/a,3.93
9/24,True,n/a,2.46
9/28,True,n/a,2.31
9/29,True,n/a,3.91
9/30,False,n/a,6.04
10/1,True,n/a,3.01
10/3,True,n/a,2.86
