date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,3.6
6/13,True,n/a,2.54
6/15,True,n/a,2.52
6/16,True,n/a,3.18
6/17,True,n/a,4.54
6/18,True,n/a,2.68
6/19,True,n/a,6.09
6/20,True,n/a,6.14
6/21,True,n/a,4.37
6/23,True,n/a,5.02
6/25,False,n/a,2.84
6/27,True,n/a,4.9
6/28,True,n/a,2.63
6/29,False,n/a,2.47
7/2,True,n/a,3.27
7/4,True,n/a,4.25
7/5,False,n/a,3.14
7/6,True,n/a,2.96
7/7,True,n/a,3.54
7/9,True,n/a,4.69
7/11,False,n/a,4.32
7/16,False,n/a,3.56
7/18,False,n/a,5.27
7/19,True,n/a,3.59
7/21,True,n/a,3.45
7/22,False,n/a,3.3
7/25,False,n/a,3.18
7/27,False,n/a,3.4
7/28,True,n/a,2.28
7/29,True,n/a,4.6
7/30,True,n/a,4.0
7/31,True,n/a,4.47
8/2,False,n/a,3.22
8/3,True,n/a,3.67
8/4,True,n/a,5.24
8/6,False,n/a,3.6
8/8,True,n/a,2.47
8/9,True,n/a,5.68
8/10,True,n/a,5.68
8/11,True,n/a,4.48
8/13,False,n/a,5.44
8/14,True,n/a,15.33
8/15,True,n/a,3.07
8/17,True,n/a,3.94
8/18,False,n/a,4.25
8/20,True,n/a,5.01
8/21,False,n/a,2.59
8/24,False,n/a,3.69
8/26,True,n/a,4.82
8/27,False,n/a,3.72
8/28,True,n/a,3.78
8/29,False,n/a,3.07
8/30,True,n/a,3.86
8/31,True,n/a,5.3
9/1,True,n/a,2.29
9/3,False,n/a,2.97
9/4,True,n/a,5.17
9/6,False,n/a,3.76
9/7,True,n/a,3.68
9/8,True,n/a,4.18
9/10,True,n/a,4.18
9/11,True,n/a,2.79
9/12,True,n/a,3.65
9/13,True,n/a,4.09
9/15,True,n/a,4.71
9/16,False,n/a,5.15
9/17,True,n/a,5.22
9/18,False,n/a,3.49
9/21,False,n/a,4.25
9/22,False,n/a,2.84
9/26,True,n/a,3.71
9/28,True,n/a,3.16
9/29,False,n/a,3.51
10/2,False,n/a,3.61
