date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,False,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,3.6
4/11,True,n/a,1.29
4/13,True,n/a,1.5
4/14,True,n/a,12.72
4/15,False,n/a,inf
4/16,True,n/a,3.46
4/17,False,n/a,5.69
4/18,False,n/a,1.8
4/19,False,n/a,4.91
4/20,True,n/a,4.09
4/21,True,n/a,9.0
4/22,True,n/a,6.88
4/23,True,n/a,2.37
4/24,True,n/a,1.35
4/25,True,n/a,8.27
4/26,False,n/a,3.0
4/27,False,n/a,2.25
4/28,True,n/a,5.82
4/30,True,n/a,7.92
5/1,True,n/a,6.97
5/2,False,n/a,5.53
5/3,True,n/a,2.19
5/4,False,n/a,4.71
5/5,True,n/a,4.5
5/6,False,n/a,11.59
5/7,True,n/a,3.1
5/8,True,n/a,1.29
5/9,False,n/a,3.7
5/10,True,n/a,2.09
5/11,True,n/a,2.23
5/12,False,n/a,1.91
5/14,True,n/a,3.33
5/15,True,n/a,3.32
5/16,False,n/a,4.6
5/17,False,n/a,0.0
5/18,True,n/a,1.48
5/19,False,n/a,2.25
5/20,True,n/a,5.37
5/21,True,n/a,2.73
5/22,True,n/a,5.11
5/23,True,n/a,2.8
5/24,False,n/a,4.98
5/25,True,n/a,2.71
5/26,True,n/a,6.8
5/28,True,n/a,3.44
5/29,True,n/a,3.8
