date,hitVal,otherInfo,opPitcherEra
4/7,False,n/a,inf
4/11,True,n/a,4.5
4/15,True,n/a,3.0
4/20,True,n/a,6.36
4/21,True,n/a,5.75
4/24,True,n/a,2.2
4/28,True,n/a,3.0
4/30,True,n/a,1.32
5/2,True,n/a,1.85
5/4,True,n/a,0.52
5/5,False,n/a,3.0
5/10,True,n/a,5.87
5/12,False,n/a,1.45
5/19,False,n/a,5.72
6/1,True,n/a,2.94
6/5,True,n/a,inf
6/7,True,n/a,5.07
6/8,True,n/a,6.5
6/9,True,n/a,4.01
6/11,True,n/a,3.06
6/16,False,n/a,4.81
6/17,True,n/a,2.9
6/19,False,n/a,2.66
6/20,False,n/a,5.08
6/26,True,n/a,5.07
6/28,True,n/a,5.14
6/29,True,n/a,3.16
6/30,False,n/a,2.75
7/1,False,n/a,5.14
7/3,True,n/a,3.43
7/4,False,n/a,2.93
7/7,True,n/a,2.1
7/10,True,n/a,3.1
7/18,False,n/a,1.96
7/20,True,n/a,5.1
7/22,False,n/a,1.62
7/23,True,n/a,2.4
7/25,True,n/a,0.0
7/27,True,n/a,5.22
7/29,True,n/a,4.13
7/31,True,n/a,3.22
8/3,True,n/a,3.54
8/4,True,n/a,2.7
8/6,True,n/a,5.37
8/8,False,n/a,4.59
8/11,True,n/a,3.63
8/12,False,n/a,3.06
8/15,False,n/a,5.46
8/17,False,n/a,3.17
8/19,False,n/a,2.73
8/27,True,n/a,3.07
8/28,True,n/a,3.7
8/30,False,n/a,3.67
8/31,True,n/a,3.95
9/1,True,n/a,3.8
9/2,True,n/a,5.15
9/3,True,n/a,inf
9/4,False,n/a,3.29
9/5,True,n/a,3.5
9/6,False,n/a,4.92
9/7,True,n/a,3.41
9/9,True,n/a,3.09
9/10,True,n/a,4.42
9/11,True,n/a,5.21
9/12,False,n/a,4.01
9/13,True,n/a,3.27
9/14,True,n/a,3.52
9/17,True,n/a,3.32
9/18,True,n/a,4.62
9/19,False,n/a,2.86
9/21,False,n/a,4.88
9/22,True,n/a,4.98
9/23,True,n/a,3.8
9/24,False,n/a,3.6
9/25,True,n/a,3.99
9/28,True,n/a,3.27
10/1,False,n/a,3.88
