date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,1.5
4/12,False,n/a,3.6
4/14,True,n/a,11.25
4/15,True,n/a,0.0
4/16,True,n/a,6.75
4/17,False,n/a,4.05
4/19,True,n/a,5.56
4/20,False,n/a,2.77
4/21,True,n/a,11.43
4/22,False,n/a,1.29
4/23,True,n/a,7.2
4/24,True,n/a,3.18
4/25,True,n/a,7.08
4/26,True,n/a,0.95
4/27,True,n/a,2.4
4/28,False,n/a,2.6
4/30,True,n/a,3.03
5/1,False,n/a,5.79
5/2,True,n/a,3.19
5/4,True,n/a,5.49
5/5,True,n/a,2.17
5/6,False,n/a,2.87
5/7,True,n/a,4.46
5/9,False,n/a,4.07
5/10,True,n/a,5.97
5/11,False,n/a,3.6
5/12,False,n/a,2.65
5/13,True,n/a,0.0
5/15,True,n/a,0.93
5/16,True,n/a,inf
5/18,False,n/a,3.06
5/19,False,n/a,inf
5/20,True,n/a,6.13
5/22,True,n/a,5.45
5/23,True,n/a,3.65
5/25,False,n/a,5.71
5/26,True,n/a,2.35
5/28,False,n/a,2.73
5/29,False,n/a,3.09
5/30,True,n/a,2.1
5/31,True,n/a,2.35
6/1,True,n/a,3.22
6/2,True,n/a,5.37
6/3,True,n/a,7.29
6/4,True,n/a,5.48
6/5,True,n/a,2.45
6/6,True,n/a,4.92
6/8,True,n/a,4.5
6/9,False,n/a,inf
6/11,True,n/a,4.84
6/12,False,n/a,3.49
6/13,False,n/a,5.46
6/15,True,n/a,6.3
6/16,False,n/a,3.56
6/18,True,n/a,5.64
6/19,True,n/a,5.62
6/20,True,n/a,4.94
6/21,True,n/a,4.16
6/22,False,n/a,3.0
6/23,False,n/a,5.7
6/25,True,n/a,5.06
6/26,True,n/a,6.5
6/27,False,n/a,4.28
6/28,False,n/a,2.54
6/29,True,n/a,4.42
6/30,True,n/a,6.38
7/1,True,n/a,3.55
7/2,True,n/a,3.84
7/3,False,n/a,2.98
7/4,True,n/a,4.24
7/6,True,n/a,2.74
7/7,True,n/a,3.24
7/8,False,n/a,2.62
7/9,True,n/a,2.98
7/11,True,n/a,2.86
7/16,True,n/a,4.55
7/17,True,n/a,1.7
7/18,True,n/a,3.09
7/19,False,n/a,3.42
7/20,True,n/a,3.53
7/21,True,n/a,3.96
7/22,True,n/a,1.5
7/23,False,n/a,5.83
7/25,True,n/a,4.34
7/27,True,n/a,4.12
7/28,True,n/a,2.47
7/29,True,n/a,4.48
7/30,True,n/a,3.0
7/31,True,n/a,5.85
8/2,True,n/a,4.68
8/3,False,n/a,2.57
8/19,True,n/a,4.29
8/20,True,n/a,2.24
8/21,True,n/a,4.45
8/22,True,n/a,3.06
8/23,False,n/a,7.82
8/24,True,n/a,4.98
8/25,False,n/a,3.56
8/26,True,n/a,2.88
8/28,False,n/a,6.47
8/30,False,n/a,3.62
8/31,True,n/a,3.29
9/1,False,n/a,4.61
9/3,False,n/a,5.17
9/4,True,n/a,5.18
9/5,True,n/a,10.03
9/6,True,n/a,3.72
9/7,False,n/a,inf
9/8,True,n/a,2.91
9/10,True,n/a,4.5
9/11,True,n/a,3.45
9/12,True,n/a,4.97
9/13,True,n/a,4.42
9/14,True,n/a,4.53
9/15,False,n/a,5.63
9/25,True,n/a,4.18
9/26,True,n/a,2.08
9/27,False,n/a,2.53
9/28,False,n/a,1.85
9/29,True,n/a,4.94
10/1,False,n/a,4.66
10/3,True,n/a,3.75
