date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,0.0
4/12,False,n/a,7.2
4/14,True,n/a,0.0
4/15,True,n/a,2.57
4/16,True,n/a,3.55
4/17,True,n/a,18.92
4/18,False,n/a,2.84
4/20,True,n/a,2.45
4/21,True,n/a,1.8
4/22,True,n/a,3.21
4/23,True,n/a,11.58
4/24,True,n/a,2.89
4/25,True,n/a,4.59
4/27,False,n/a,6.95
4/30,True,n/a,2.96
5/1,True,n/a,5.68
5/2,True,n/a,4.1
5/3,True,n/a,4.23
5/4,True,n/a,3.75
5/5,True,n/a,8.03
5/6,True,n/a,10.57
5/8,True,n/a,4.78
5/9,False,n/a,3.93
5/11,True,n/a,5.28
5/12,True,n/a,1.98
5/14,True,n/a,3.4
5/15,True,n/a,2.08
5/16,True,n/a,3.86
5/17,True,n/a,4.81
5/18,False,n/a,2.78
5/19,True,n/a,3.46
5/20,True,n/a,3.91
5/21,True,n/a,4.27
5/22,True,n/a,2.89
5/23,True,n/a,6.24
5/25,False,Suspended-Valid.,2.03
5/26,False,n/a,2.68
5/27,True,n/a,6.69
5/28,False,n/a,3.45
5/29,True,n/a,3.07
5/30,True,n/a,2.95
5/31,True,n/a,2.03
6/1,True,n/a,3.12
6/2,True,n/a,3.22
6/3,True,n/a,3.5
6/4,True,n/a,3.6
6/8,False,n/a,3.6
6/9,True,n/a,5.49
6/10,True,n/a,2.95
6/11,True,n/a,2.44
6/12,False,n/a,5.04
6/13,False,n/a,3.21
6/15,False,n/a,4.76
6/16,True,n/a,4.04
6/17,False,n/a,1.16
6/18,True,n/a,7.28
6/19,True,n/a,3.74
6/20,True,n/a,2.36
6/22,True,n/a,5.79
6/23,True,n/a,3.91
6/24,True,n/a,2.59
6/25,True,n/a,2.69
6/26,False,n/a,3.31
6/28,True,n/a,4.21
6/29,True,n/a,3.68
6/30,True,n/a,3.0
7/1,True,n/a,2.72
7/2,False,n/a,2.44
7/3,True,n/a,4.68
7/4,True,n/a,4.76
7/6,True,n/a,6.98
7/7,True,n/a,inf
