date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/11,False,n/a,1.5
4/15,False,n/a,1.5
4/18,False,n/a,0.75
4/22,True,n/a,1.8
4/23,False,n/a,2.12
4/25,True,n/a,6.46
4/28,True,n/a,7.66
4/29,False,n/a,8.38
5/1,True,n/a,2.23
5/2,True,n/a,1.67
5/4,False,n/a,inf
5/5,False,n/a,10.8
5/6,True,n/a,3.52
5/7,True,n/a,2.27
5/8,True,n/a,9.89
5/9,True,n/a,5.03
5/11,True,n/a,5.4
5/12,False,n/a,3.53
5/13,True,n/a,6.38
5/15,True,n/a,3.42
5/16,True,n/a,6.69
5/17,False,n/a,6.83
5/20,True,n/a,4.18
5/21,False,n/a,4.65
5/28,True,n/a,4.53
5/29,True,n/a,4.17
5/30,True,n/a,4.48
6/1,True,n/a,4.38
6/2,True,n/a,6.02
6/3,False,n/a,5.26
6/4,False,n/a,4.04
6/5,True,n/a,3.62
6/6,False,n/a,3.08
6/7,True,n/a,2.91
6/8,True,n/a,3.26
6/9,True,n/a,4.64
6/10,True,n/a,6.66
6/12,True,n/a,3.97
6/16,True,n/a,3.36
6/19,False,n/a,6.33
6/23,True,n/a,3.77
6/26,True,n/a,inf
7/1,False,n/a,2.98
7/2,False,n/a,4.66
7/7,True,n/a,3.86
7/9,True,n/a,4.56
7/10,True,n/a,8.41
7/11,True,n/a,4.96
7/16,False,n/a,4.22
7/20,True,n/a,4.45
7/21,False,n/a,4.74
7/23,False,n/a,4.83
7/25,False,n/a,6.06
7/29,True,n/a,3.46
7/30,True,n/a,3.55
7/31,True,n/a,3.86
8/1,False,n/a,3.17
8/4,True,n/a,3.57
8/5,True,n/a,2.79
8/6,True,n/a,3.63
8/7,True,n/a,3.69
8/8,True,n/a,2.72
8/10,True,n/a,4.99
8/11,True,n/a,4.63
8/13,True,n/a,6.21
8/14,False,n/a,2.94
8/15,True,n/a,4.1
8/16,True,n/a,2.84
8/17,True,n/a,3.92
8/18,False,n/a,4.99
8/19,True,n/a,5.28
8/20,True,n/a,5.23
8/21,True,n/a,5.8
8/22,False,n/a,5.49
8/23,True,n/a,6.67
8/24,False,n/a,3.52
8/26,True,n/a,3.45
8/27,True,n/a,2.86
8/29,True,n/a,3.24
8/30,False,n/a,5.41
8/31,True,n/a,6.0
9/1,True,n/a,6.0
9/3,True,n/a,inf
9/5,True,n/a,6.04
9/6,True,n/a,3.6
9/7,True,n/a,3.53
9/8,True,n/a,6.63
9/9,True,n/a,inf
9/10,True,n/a,5.01
9/11,True,n/a,5.2
9/12,True,n/a,4.83
9/14,True,n/a,5.03
9/15,True,n/a,3.89
9/17,False,n/a,2.39
9/18,True,n/a,3.62
9/19,True,n/a,3.95
9/20,True,n/a,2.94
9/21,False,n/a,3.93
9/22,True,n/a,3.12
9/23,False,n/a,3.65
9/26,True,n/a,2.81
9/27,True,n/a,4.06
9/28,True,n/a,2.31
9/29,False,n/a,3.91
