date,hitVal,otherInfo
4/6,True,n/a
4/9,True,n/a
4/11,True,n/a
4/12,False,n/a
4/13,True,n/a
4/14,True,n/a
4/16,False,Suspended-Valid.
4/18,False,n/a
4/19,False,n/a
4/20,False,n/a
4/21,False,n/a
4/23,False,n/a
5/1,True,n/a
5/4,True,n/a
5/5,True,n/a
5/7,False,n/a
5/9,False,n/a
5/11,True,n/a
5/15,True,n/a
5/16,False,n/a
5/18,True,n/a
5/20,True,n/a
5/22,True,n/a
5/25,False,n/a
5/29,True,n/a
6/1,True,n/a
6/2,True,n/a
6/9,True,n/a
6/17,True,n/a
6/22,False,n/a
9/1,True,n/a
9/5,False,n/a
9/12,False,n/a
9/22,True,n/a
9/26,False,n/a
