date,hitVal,otherInfo
4/8,True,n/a
4/11,False,n/a
4/16,True,n/a
4/21,True,n/a
4/24,False,n/a
4/26,True,n/a
4/28,True,n/a
5/2,False,n/a
5/8,True,n/a
5/12,True,n/a
5/15,False,n/a
5/18,True,n/a
5/23,True,n/a
5/25,False,n/a
5/26,False,n/a
5/28,True,n/a
5/29,False,n/a
5/30,False,n/a
6/1,True,n/a
6/2,False,n/a
6/4,False,n/a
6/5,False,n/a
6/6,False,n/a
6/9,False,n/a
6/12,False,n/a
6/17,True,n/a
6/20,True,n/a
6/27,False,n/a
7/1,False,n/a
7/4,True,n/a
7/9,True,n/a
7/18,True,n/a
7/22,False,n/a
7/29,True,n/a
8/1,False,n/a
8/5,False,n/a
8/8,True,n/a
8/13,True,n/a
8/22,False,n/a
8/25,True,n/a
8/29,False,n/a
9/1,True,n/a
