date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,11.25
4/12,False,n/a,0.0
4/13,True,n/a,1.5
4/14,True,n/a,4.5
4/16,False,n/a,3.29
4/17,True,n/a,5.25
4/18,False,n/a,5.0
4/19,True,n/a,2.77
4/20,True,n/a,13.5
4/21,False,n/a,2.84
4/22,True,n/a,4.26
4/23,True,n/a,4.73
4/24,True,n/a,4.41
4/26,False,n/a,4.24
4/27,False,n/a,1.29
4/28,True,n/a,4.81
4/29,True,n/a,4.24
4/30,False,n/a,3.42
5/1,False,n/a,7.2
5/2,False,n/a,2.53
5/3,True,n/a,5.72
5/4,True,n/a,6.85
5/5,False,n/a,3.77
5/8,True,n/a,5.4
5/9,True,n/a,2.88
5/10,True,n/a,2.8
5/12,False,n/a,9.79
5/13,True,n/a,3.04
5/14,True,n/a,3.82
5/15,True,n/a,3.71
5/16,True,n/a,4.61
5/18,False,n/a,4.75
5/20,True,n/a,3.98
5/21,False,n/a,4.03
5/22,True,n/a,3.51
5/23,True,n/a,2.87
5/25,True,n/a,1.96
5/26,True,n/a,3.08
5/28,True,n/a,5.04
5/29,False,n/a,2.35
5/30,True,n/a,3.23
5/31,False,n/a,3.31
6/1,False,n/a,4.78
6/2,True,n/a,3.7
6/3,True,n/a,5.54
6/4,True,n/a,2.71
6/6,True,n/a,4.73
6/15,True,n/a,5.0
6/16,True,n/a,2.28
6/17,True,n/a,4.34
6/18,True,n/a,1.8
6/19,True,n/a,5.18
6/20,True,n/a,3.57
6/22,False,n/a,3.64
6/23,True,n/a,2.82
6/24,True,n/a,3.13
6/25,False,n/a,3.33
6/26,False,n/a,4.78
6/29,False,n/a,6.1
6/30,True,n/a,4.79
7/2,True,n/a,2.81
7/3,True,n/a,2.8
7/4,True,n/a,2.45
7/5,True,n/a,5.4
7/6,True,n/a,5.81
7/7,False,n/a,6.45
7/9,True,n/a,3.32
7/10,True,n/a,6.0
7/11,True,n/a,3.59
7/16,True,n/a,4.75
7/17,False,n/a,3.64
7/18,True,n/a,inf
7/19,True,n/a,5.32
7/20,False,n/a,2.39
7/21,True,n/a,3.42
7/22,True,n/a,3.5
7/24,True,n/a,3.37
