date,hitVal,otherInfo,opPitcherEra
4/7,True,n/a,inf
4/15,False,n/a,0.0
4/16,True,n/a,5.4
4/17,False,n/a,4.63
4/19,True,n/a,0.64
4/20,True,n/a,4.15
4/21,False,n/a,3.5
4/24,True,n/a,2.46
4/25,True,n/a,7.25
4/27,False,n/a,0.95
4/30,True,n/a,2.49
5/1,True,n/a,1.73
5/3,True,n/a,5.4
5/4,True,n/a,2.73
5/5,True,n/a,3.82
5/7,False,n/a,3.0
5/20,False,n/a,1.76
5/26,True,n/a,0.99
5/27,False,n/a,7.52
5/30,True,n/a,5.36
5/31,False,n/a,3.63
6/4,True,n/a,4.97
6/6,True,n/a,0.78
6/9,True,n/a,4.91
6/10,False,n/a,3.71
6/13,False,n/a,2.54
6/15,True,n/a,2.52
6/17,True,n/a,4.54
6/18,True,n/a,2.68
6/19,True,n/a,6.09
6/20,False,n/a,6.14
6/21,True,n/a,4.37
6/23,False,n/a,5.02
6/25,False,n/a,2.84
6/27,True,n/a,4.9
6/28,True,n/a,2.63
6/29,True,n/a,2.47
7/2,True,n/a,3.27
7/4,True,n/a,4.25
7/6,False,n/a,2.96
7/7,True,n/a,3.54
7/8,True,n/a,3.35
7/9,True,n/a,4.69
7/11,False,n/a,4.32
7/16,False,n/a,3.56
7/18,True,n/a,5.27
7/19,True,n/a,3.59
7/20,True,n/a,2.63
7/22,False,n/a,3.3
7/25,True,n/a,3.18
7/28,False,n/a,2.28
7/29,False,n/a,4.6
7/30,False,n/a,4.0
8/2,False,n/a,3.22
8/6,False,n/a,3.6
8/8,False,n/a,2.47
8/9,False,n/a,5.68
8/11,True,n/a,4.48
8/13,True,n/a,5.44
8/14,True,n/a,15.33
8/15,False,n/a,3.07
8/17,True,n/a,3.94
8/18,True,n/a,4.25
8/20,True,n/a,5.01
8/21,False,n/a,2.59
8/22,False,n/a,4.33
8/26,True,n/a,4.82
8/27,False,n/a,3.72
8/29,True,n/a,3.07
8/30,False,n/a,3.86
8/31,True,n/a,5.3
9/1,True,n/a,2.29
9/3,True,n/a,2.97
9/4,True,n/a,5.17
9/5,True,n/a,2.96
9/6,False,n/a,3.76
9/7,False,n/a,3.68
9/8,True,n/a,4.18
9/10,True,n/a,4.18
9/11,False,n/a,2.79
9/12,False,n/a,3.65
9/13,True,n/a,4.09
9/15,False,n/a,4.71
9/16,True,n/a,5.15
9/17,True,n/a,5.22
9/18,False,n/a,3.49
9/19,True,n/a,5.78
9/22,True,n/a,2.84
9/26,False,n/a,3.71
9/29,True,n/a,3.51
10/1,False,n/a,5.1
10/2,True,n/a,3.61
10/3,True,n/a,3.81
